;KO;odds_ratio_log10_corr
109;K00172;0.2187979981117375
110;K00174;0.5289865032144183
111;K00175;0.5596205813024373
112;K00176;-0.0882690987645757
113;K00177;-0.2010359342305159
114;K00179;0.1446827948040571
115;K00180;-0.261446172353753
116;K00184;-1.3149282712310375
117;K00185;-1.804268802155164
118;K00208;0.3221496358759176
119;K00209;-0.5331906908912031
120;K00210;-0.1522299995191497
121;K00215;-0.0349591410618535
122;K00216;0.4985492596393348
123;K00217;0.4883120471152674
124;K00218;0.5570469154553176
125;K00219;-0.0840163216442695
126;K00220;-3.0
127;K00226;1.0103191252881898
128;K00228;-1.9093124540907056
129;K00230;-0.036284909806199
130;K00231;1.1141074847660477
131;K00232;1.6762778178440372
132;K00239;-0.6251781164234667
133;K00240;-0.7270495791138749
134;K00241;-0.4703070806025681
135;K00242;-0.4882165935378037
136;K00243;-0.0447214513470413
137;K00244;0.0972981803050755
138;K00245;-0.7627719975903365
139;K00246;-0.501955317133139
140;K00247;-0.5232772589575528
141;K00248;0.8026947019943348
142;K00249;0.168464428245658
143;K00252;-0.4240320758549643
144;K00253;-1.0136435602898484
145;K00254;-0.379576856192666
146;K00255;0.3484666483691802
147;K00259;0.1562322440098052
148;K00260;0.1826400926014711
149;K00261;-0.188717258391559
150;K00262;0.1205599106256513
151;K00263;0.0754019226017237
152;K00265;0.0334131241732099
153;K00266;-0.1318056209995615
154;K00271;3.0
155;K00274;0.2753424878786401
156;K00275;-0.6304144439481278
157;K00276;0.8396370009107805
158;K00278;0.1727342060682437
159;K00281;-0.1696271151084547
160;K00282;-0.0538350169664861
161;K00283;0.1334276738400808
162;K00284;0.4558212462600175
163;K00285;0.1368526317710486
164;K00286;0.2058365021916915
165;K00287;-0.051957517083611
166;K00290;-0.1086015833939052
167;K00293;-3.0
168;K00294;0.1563450732221714
169;K00297;-0.054953123690128
170;K00299;0.3516529786896696
171;K00301;1.2557312092384911
172;K00302;-0.2820569681797729
173;K00303;-0.2793143427762466
174;K00304;-0.3202693536496513
175;K00305;-0.2217083850056666
176;K00311;-2.307461155289248
177;K00313;-0.139854031673083
178;K00318;0.3689999135294075
179;K00322;-0.1930214162717188
180;K00324;-0.1726706143894341
181;K00325;-0.3992369512791907
182;K00329;-1.237693194985788
183;K00330;-0.5425771051036735
184;K00331;-0.5658272267253901
185;K00332;-0.3760412613602497
186;K00333;-0.4550179891644419
187;K00334;-0.1328419869524879
188;K00335;-0.2321742162260369
189;K00336;-0.1963408136681419
190;K00337;-0.5479113834320358
191;K00338;-0.2545167720554638
192;K00339;-0.0950603594850523
193;K00340;-0.2845650540344982
194;K00341;-0.5746927294370094
195;K00342;-0.5980380832702124
196;K00343;-0.5198498255259871
197;K00344;-0.0613048013964412
198;K00346;-3.0
199;K00347;-1.9770011856902152
200;K00348;-1.994428945287005
201;K00349;-1.9828409442669408
202;K00350;-1.9828409442669408
203;K00351;-1.994428945287005
204;K00354;0.5961072034083547
205;K00355;-0.0703570379217483
206;K00356;-1.237693194985788
207;K00360;3.0
208;K00362;0.0684155148938389
209;K00363;0.0035538906811336
210;K00364;-0.3778102337881175
211;K00365;0.9510135393091264
212;K00366;0.8632585778659474
213;K00368;-0.1990308987195422
214;K00370;0.1767288726507087
215;K00371;0.1559841795387842
216;K00372;-0.1151393230831045
217;K00373;0.2151415371166736
218;K00374;0.2200854450028928
219;K00375;-0.0299476234391558
220;K00376;-1.7220563263828368
221;K00380;-0.3728450803284912
222;K00381;-0.9786243511927896
223;K00382;-0.4320857613896971
224;K00383;-0.9807574428034106
225;K00384;0.0682451810642649
226;K00389;0.3876352597908129
227;K00390;-0.2981713524984123
228;K00392;0.703065648574546
229;K00404;-1.670763486606087
230;K00405;-2.2180178515316564
231;K00406;-2.307461155289248
232;K00407;-3.0
233;K00410;-3.0
234;K00411;-2.361618675659621
235;K00412;-1.6327778534389872
236;K00413;-2.371467551278032
237;K00424;-1.6643392572474591
238;K00425;-0.2199561421946044
239;K00426;-0.0721802316110953
240;K00428;-1.5153088000026762
241;K00432;0.3111988643215412
242;K00433;0.178679881017279
243;K00435;1.2275549921805884
244;K00441;-0.2663955922779094
245;K00446;0.3416265403941115
246;K00448;0.2970667206712731
247;K00449;0.1186274305088638
248;K00450;-0.0459622981484855
249;K00451;-0.1834889861383638
250;K00452;-0.1340666384209151
251;K00453;0.060864908823417
252;K00455;-0.4383686657276457
253;K00457;-0.2752843941440462
254;K00459;0.1001491932301625
255;K00466;0.5402528413497603
256;K00467;0.8429362909918657
257;K00472;-0.6209955516509524
258;K00479;0.0396349416682443
259;K00480;-0.3564027459596087
260;K00481;0.1129120268979061
261;K00483;0.4468858317207085
262;K00484;-0.3540240949138254
263;K00486;0.0407270387107005
264;K00491;1.031683285029886
265;K00493;0.4869094763414913
266;K00496;0.0598561099692596
267;K00499;-0.6402835194174015
268;K00500;-0.7730871248848241
269;K00507;-0.2705162349227658
270;K00508;0.2315463179998352
271;K00518;0.9816530719110182
272;K00520;0.1076432771875137
273;K00523;-0.9271589319833942
274;K00525;-0.06369301519314
275;K00526;0.1924143622262083
276;K00528;-0.012986221330194
277;K00529;-0.2040704706588463
278;K00537;0.4876625185561956
279;K00544;-0.0820458963076666
280;K00547;0.618215869258067
281;K00548;-0.1219854376340356
282;K00549;-0.1127544583774882
283;K00556;0.5675362715478852
284;K00557;-0.5341295218160959
285;K00558;-0.0759489447211583
286;K00560;-0.0036961455599637
287;K00561;1.2693789529272872
288;K00563;0.575509663750763
289;K00564;0.6408099719525453
290;K00566;0.4585092263438552
291;K00567;-0.2512787163442773
292;K00568;-0.489502864398728
293;K00569;-1.044016828984374
294;K00570;-3.0
295;K00571;0.3553174689792448
296;K00573;-0.5306815868982743
297;K00574;-0.2408596232980548
298;K00575;-0.2701059433948404
299;K00588;0.3078092882354251
300;K00590;-0.1589571046950708
301;K00594;0.9223096931989772
302;K00595;0.0587659066964284
303;K00596;0.5296661301131558
304;K00598;0.280970201735013
305;K00600;-0.1808376940801428
306;K00602;0.3894626751182373
307;K00603;-0.125104213646653
308;K00604;0.0334131241732099
309;K00605;0.115484647456087
310;K00606;-0.1838953705720859
311;K00609;0.4689647107230902
312;K00610;-0.3400260669899181
313;K00611;0.2922204749069743
314;K00612;0.2308687324132867
315;K00615;0.057956230502326
316;K00616;0.1462599264972614
317;K00619;0.9600888477244264
318;K00620;0.5235422486737327
319;K00625;-0.0924341708912701
320;K00626;-0.163011234062972
321;K00627;-0.3085849335112487
322;K00631;-0.8236298711408158
323;K00632;-0.4151151815716551
324;K00633;0.0949560272193266
325;K00634;0.0709446363244378
326;K00638;-0.5455427299162813
327;K00639;-0.182157693313437
328;K00640;0.0806966936220406
329;K00641;-0.0702775689198559
330;K00643;-1.073339053831268
331;K00645;-0.1037494375383619
332;K00646;-0.2903391301188789
333;K00647;-2.12057393120585
334;K00648;0.1114334302643376
335;K00651;0.044433824550013
336;K00652;-0.3434481700398965
337;K00655;0.0838518244912497
338;K00656;0.4315167453527327
339;K00657;0.1292121596891286
340;K00658;0.0912923684366976
