bergeys_taxID;bergeys_genus;bergeys_species;bergeys_speciesStrain;bergeys_misclassified;bergeys_oxygen;bergeys_doublingH
216937;Spiroplasma;Spiroplasma floricola;Spiroplasma floricola;;;
2141;Spiroplasma;Spiroplasma ixodetis;Spiroplasma ixodetis;;;
47834;Spiroplasma;Spiroplasma kunkelii;Spiroplasma kunkelii;;;
334122;Spiroplasma;Spiroplasma leucomae;Spiroplasma leucomae;;;
299214;Spiroplasma;Spiroplasma lineolae;Spiroplasma lineolae;;;
2134;Spiroplasma;Spiroplasma melliferum;Spiroplasma melliferum;;;
2144;Spiroplasma;Spiroplasma mirum;Spiroplasma mirum;;;
301585;Spiroplasma;Spiroplasma platyhelix;Spiroplasma platyhelix;;;
2138;Spiroplasma;Spiroplasma poulsonii;Spiroplasma poulsonii;;;
216944;Spiroplasma;Spiroplasma sabaudiense;Spiroplasma sabaudiense;;;
216945;Spiroplasma;Spiroplasma syrphidicola;Spiroplasma syrphidicola;;;
2145;Spiroplasma;Spiroplasma taiwanense;Spiroplasma taiwanense;;;
216947;Spiroplasma;Spiroplasma velocicrescens;Spiroplasma velocicrescens;;;
108;Spirosoma;Spirosoma linguale;Spirosoma linguale;;aerobic;
564064;Spirosoma;Spirosoma rigui;Spirosoma rigui;;facultative;
165813;Sporanaerobacter;Sporanaerobacter acetigenes;Sporanaerobacter acetigenes;;;
171442;Sporichthya;Sporichthya brevicatena;Sporichthya brevicatena;;;
44749;Sporobacter;Sporobacter termitidis;Sporobacter termitidis;;obligate anaerobic;
100133;Sporobacterium;Sporobacterium olearium;Sporobacterium olearium;;obligate anaerobic;
153721;Sporocytophaga;Sporocytophaga myxococcoides;Sporocytophaga myxococcoides;;;
974;Sporohalobacter;Sporohalobacter lortetii;Sporohalobacter lortetii;;obligate anaerobic;
2376;Sporomusa;Sporomusa paucivorans;Sporomusa paucivorans;;;
357999;Sporomusa;Sporomusa rhizae;Sporomusa rhizae;;anaerobic;
55504;Sporomusa;Sporomusa silvacetica;Sporomusa silvacetica;;;
114975;Sporosarcina;Sporosarcina aquimarina;Sporosarcina aquimarina;;;
1459;Sporosarcina;Sporosarcina globispora;Sporosarcina globispora;;facultative;
334735;Sporosarcina;Sporosarcina koreensis;Sporosarcina koreensis;;obligate aerobic;
1474;Sporosarcina;Sporosarcina pasteurii;Sporosarcina pasteurii;;;
1476;Sporosarcina;Sporosarcina psychrophila;Sporosarcina psychrophila;;facultative;
1571;Sporosarcina;Sporosarcina ureae;Sporosarcina ureae;;;
68035;Sporotomaculum;Sporotomaculum hydroxybenzoicum;Sporotomaculum hydroxybenzoicum;;obligate anaerobic;
182264;Sporotomaculum;Sporotomaculum syntrophicum;Sporotomaculum syntrophicum;;obligate anaerobic;
74349;Sulfitobacter;Sulfitobacter guttiformis;Sulfitobacter guttiformis;;;
29378;Staphylococcus;Staphylococcus arlettae;Staphylococcus arlettae;;aerobic;
1280;Staphylococcus;Staphylococcus aureus;Staphylococcus aureus;;facultative;
29379;Staphylococcus;Staphylococcus auricularis;Staphylococcus auricularis;;facultative;
29388;Staphylococcus;Staphylococcus capitis;Staphylococcus capitis;;facultative;
