bergeys_taxID;bergeys_genus;bergeys_species;bergeys_speciesStrain;bergeys_misclassified;bergeys_oxygen;bergeys_doublingH
76887;Caldivirga;Caldivirga maquilingensis;Caldivirga maquilingensis;;anaerobic;8
53422;Thermobrachium;Thermobrachium celere;Thermobrachium celere;;microaerophilic;
95159;Caloramator;Caloramator coolhaasii;Caloramator coolhaasii;;obligate anaerobic;
29344;Caloramator;Caloramator fervidus;Caloramator fervidus;;obligate anaerobic;
33957;Caloramator;Caloramator indicus;Caloramator indicus;;obligate anaerobic;
53342;Caloramator;Caloramator proteoclasticus;Caloramator proteoclasticus;;obligate anaerobic;
112729;Caloramator;Caloramator viterbiensis;Caloramator viterbiensis;;;
166485;Caminicella;Caminicella sporogenes;Caminicella sporogenes;;anaerobic;
195;Campylobacter;Campylobacter coli;Campylobacter coli;;;
199;Campylobacter;Campylobacter concisus;Campylobacter concisus;;aerobic;
200;Campylobacter;Campylobacter curvus;Campylobacter curvus;;anaerobic;
196;Campylobacter;Campylobacter fetus;Campylobacter fetus;;;
824;Campylobacter;Campylobacter gracilis;Campylobacter gracilis;;anaerobic;
28898;Campylobacter;Campylobacter helveticus;Campylobacter helveticus;;aerobic;
76517;Campylobacter;Campylobacter hominis;Campylobacter hominis;;anaerobic;
198;Campylobacter;Campylobacter hyointestinalis;Campylobacter hyointestinalis;;;
197;Campylobacter;Campylobacter jejuni;Campylobacter jejuni;;;
75658;Campylobacter;Campylobacter lanienae;Campylobacter lanienae;;aerobic;
201;Campylobacter;Campylobacter lari;Campylobacter lari;;aerobic;
202;Campylobacter;Campylobacter mucosalis;Campylobacter mucosalis;;aerobic;
203;Campylobacter;Campylobacter rectus;Campylobacter rectus;;anaerobic;
204;Campylobacter;Campylobacter showae;Campylobacter showae;;anaerobic;
206;Campylobacter;Campylobacter sputorum;Campylobacter sputorum;;aerobic;
28080;Campylobacter;Campylobacter upsaliensis;Campylobacter upsaliensis;;aerobic;
244581;Candidatus;Candidatus Caedibacter acanthamoebae;Candidatus Caedibacter acanthamoebae;;;
209446;Candidatus;Candidatus Mycoplasma haemominutum;Candidatus Mycoplasma haemominutum;;;
60452;Candidatus;Candidatus Mycoplasma ravipulmonis;Candidatus Mycoplasma ravipulmonis;;;
1580092;Candidatus;Candidatus Nitrosopumilus adriaticus;Candidatus Nitrosopumilus adriaticus;;;
338192;Nitrosopumilus;Nitrosopumilus maritimus;Nitrosopumilus maritimus;;;19
1582439;Candidatus;Candidatus Nitrosopumilus piranensis;Candidatus Nitrosopumilus piranensis;;;
1229909;Candidatus;Candidatus Nitrosopumilus sediminis;Candidatus Nitrosopumilus sediminis;;;29
1078905;Candidatus;Candidatus Nitrosotalea devanaterra;Candidatus Nitrosotalea devanaterra;;aerobic;
1499975;Nitrosotalea;Nitrosotalea sp. Nd2;Nitrosotalea sp. Nd2;;aerobic;
125269;Candidatus;Candidatus Pasteuria usgae;Candidatus Pasteuria usgae;;;
225148;Candidatus;Candidatus Rhabdochlamydia porcellionis;Candidatus Rhabdochlamydia porcellionis;;;
232537;Candidatus;Candidatus Rhodoluna limnophila;Candidatus Rhodoluna limnophila;;aerobic;
535712;Candidatus;Candidatus Rhodoluna planktonica;Candidatus Rhodoluna planktonica;;aerobic;
1017;Capnocytophaga;Capnocytophaga gingivalis;Capnocytophaga gingivalis;;anaerobic;
285110;Carboxydocella;Carboxydocella sporoproducens;Carboxydocella sporoproducens;;;
178899;Carboxydocella;Carboxydocella thermautotrophica;Carboxydocella thermautotrophica;;obligate anaerobic;
54265;Carboxydothermus;Carboxydothermus ferrireducens;Carboxydothermus ferrireducens;;obligate anaerobic;
129958;Carboxydothermus;Carboxydothermus hydrogenoformans;Carboxydothermus hydrogenoformans;;obligate anaerobic;
28230;Carnobacterium;Carnobacterium alterfunditum;Carnobacterium alterfunditum;;anaerobic;
2748;Carnobacterium;Carnobacterium divergens;Carnobacterium divergens;;;
2752;Carnobacterium;Carnobacterium funditum;Carnobacterium funditum;;anaerobic;
2749;Carnobacterium;Carnobacterium gallinarum;Carnobacterium gallinarum;;facultative;
147709;Carnobacterium;Carnobacterium inhibens;Carnobacterium inhibens;;aerobic;
2751;Carnobacterium;Carnobacterium maltaromaticum;Carnobacterium maltaromaticum;;facultative;
2750;Carnobacterium;Carnobacterium mobile;Carnobacterium mobile;;facultative;
181073;Carnobacterium;Carnobacterium pleistocenium;Carnobacterium pleistocenium;;facultative;
174587;Carnobacterium;Carnobacterium viridans;Carnobacterium viridans;;facultative;
310355;Catellatospora;Catellatospora bangladeshensis;Catellatospora bangladeshensis;;aerobic;
310353;Catellatospora;Catellatospora chokoriensis;Catellatospora chokoriensis;;aerobic;
53366;Catellatospora;Catellatospora citrea;Catellatospora citrea;;aerobic;
310354;Catellatospora;Catellatospora coxensis;Catellatospora coxensis;;aerobic;
121620;Catellatospora;Catellatospora methionotrophica;Catellatospora methionotrophica;;aerobic;
100886;Catenibacterium;Catenibacterium mitsuokai;Catenibacterium mitsuokai;;obligate anaerobic;
155892;Caulobacter;Caulobacter vibrioides;Caulobacter vibrioides;;;
301388;Cellulomonas;Cellulomonas bogoriensis;Cellulomonas bogoriensis;;facultative;
266130;Cellulomonas;Cellulomonas composti;Cellulomonas composti;;aerobic;
156981;Cellulomonas;Cellulomonas hominis;Cellulomonas hominis;;;
144055;Cellulomonas;Cellulomonas humilata;Cellulomonas humilata;;microaerophilic;
311234;Cellulomonas;Cellulomonas terrae;Cellulomonas terrae;;aerobic;
233583;Cellulomonas;Cellulomonas xylanilytica;Cellulomonas xylanilytica;;aerobic;
425254;Cellulosilyticum;Cellulosilyticum ruminicola;Cellulosilyticum ruminicola;;;
1710;Cellulosimicrobium;Cellulosimicrobium cellulans;Cellulosimicrobium cellulans;;aerobic;
264251;Cellulosimicrobium;Cellulosimicrobium funkei;Cellulosimicrobium funkei;;aerobic;
412439;Cellulosimicrobium;Cellulosimicrobium terreum;Cellulosimicrobium terreum;;anaerobic;
82203;Centipeda;Centipeda periodontii;Centipeda periodontii;;obligate anaerobic;
188913;Cetobacterium;Cetobacterium somerae;Cetobacterium somerae;;anaerobic;
29529;Chitinophaga;Chitinophaga arvensicola;Chitinophaga arvensicola;;aerobic;
104663;Chitinophaga;Chitinophaga filiformis;Chitinophaga filiformis;;obligate aerobic;
393003;Chitinophaga;Chitinophaga ginsengisegetis;Chitinophaga ginsengisegetis;;anaerobic;
363837;Chitinophaga;Chitinophaga ginsengisoli;Chitinophaga ginsengisoli;;anaerobic;
104662;Chitinophaga;Chitinophaga japonensis;Chitinophaga japonensis;;anaerobic;
79329;Chitinophaga;Chitinophaga pinensis;Chitinophaga pinensis;;;
1004;Chitinophaga;Chitinophaga sancti;Chitinophaga sancti;;;
331697;Chitinophaga;Chitinophaga skermanii;Chitinophaga skermanii;;aerobic;
398039;'Chitinophaga;'Chitinophaga terrae' An et al. 2007;'Chitinophaga terrae' An et al. 2007;;;
408074;Chitinophaga;Chitinophaga terrae Kim and Jung 2007;Chitinophaga terrae Kim and Jung 2007;;;
157109;Chlorobium;Chlorobium chlorovibrioides;Chlorobium chlorovibrioides;;;
1092;Chlorobium;Chlorobium limicola;Chlorobium limicola;;;
1096;Chlorobium;Chlorobium phaeobacteroides;Chlorobium phaeobacteroides;;;
1094;Chlorobium;Chlorobium phaeovibrioides;Chlorobium phaeovibrioides;;;
1097;Chlorobaculum;Chlorobaculum tepidum;Chlorobaculum tepidum;;;
1098;Prosthecochloris;Prosthecochloris vibrioformis;Prosthecochloris vibrioformis;;;
152260;Chloroflexus;Chloroflexus aggregans;Chloroflexus aggregans;;;
1108;Chloroflexus;Chloroflexus aurantiacus;Chloroflexus aurantiacus;;;
166589;Chloronema;Chloronema giganteum;Chloronema giganteum;;;
51;Chondromyces;Chondromyces apiculatus;Chondromyces apiculatus;;;
1653841;Chondromyces;Chondromyces catenulatus;Chondromyces catenulatus;;;
52;Chondromyces;Chondromyces crocatus;Chondromyces crocatus;;;
83446;Chondromyces;Chondromyces lanuginosus;Chondromyces lanuginosus;;;
83447;Chondromyces;Chondromyces pediculatus;Chondromyces pediculatus;;;
83448;Chondromyces;Chondromyces robustus;Chondromyces robustus;;;
61644;Chromatium;Chromatium okenii;Chromatium okenii;;obligate anaerobic;
626372;Chromatium;Chromatium weissei;Chromatium weissei;;;
141389;Chromohalobacter;Chromohalobacter canadensis;Chromohalobacter canadensis;;;
141390;Chromohalobacter;Chromohalobacter israelensis;Chromohalobacter israelensis;;;
42055;Chromohalobacter;Chromohalobacter marismortui;Chromohalobacter marismortui;;aerobic;
158080;Chromohalobacter;Chromohalobacter salexigens;Chromohalobacter salexigens;;;
246;Chryseobacterium;Chryseobacterium balustinum;Chryseobacterium balustinum;;;
192389;Chryseobacterium;Chryseobacterium daecheongense;Chryseobacterium daecheongense;;;
160396;Chryseobacterium;Chryseobacterium defluvii;Chryseobacterium defluvii;;;
236814;Chryseobacterium;Chryseobacterium formosense;Chryseobacterium formosense;;;
250;Chryseobacterium;Chryseobacterium gleum;Chryseobacterium gleum;;anaerobic;
358687;Chryseobacterium;Chryseobacterium hispanicum;Chryseobacterium hispanicum;;;
253;Chryseobacterium;Chryseobacterium indologenes;Chryseobacterium indologenes;;anaerobic;
112234;Chryseobacterium;Chryseobacterium joostei;Chryseobacterium joostei;;;
333702;Chryseobacterium;Chryseobacterium piscium;Chryseobacterium piscium;;;
118127;Chryseobacterium;Chryseobacterium proteolyticum;Chryseobacterium proteolyticum;;;
59733;Chryseobacterium;Chryseobacterium scophthalmum;Chryseobacterium scophthalmum;;;
297244;Chryseobacterium;Chryseobacterium shigense;Chryseobacterium shigense;;;
295069;Chryseobacterium;Chryseobacterium taichungense;Chryseobacterium taichungense;;;
363331;Chryseobacterium;Chryseobacterium taiwanense;Chryseobacterium taiwanense;;;
307480;Chryseobacterium;Chryseobacterium vrystaatense;Chryseobacterium vrystaatense;;;
356305;Chryseobacterium;Chryseobacterium wanjuense;Chryseobacterium wanjuense;;;
191863;Chthoniobacter;Chthoniobacter flavus;Chthoniobacter flavus;;aerobic;
246603;Citricoccus;Citricoccus alkalitolerans;Citricoccus alkalitolerans;;aerobic;
72174;Citromicrobium;Citromicrobium bathyomarinum;Citromicrobium bathyomarinum;;aerobic;
28447;Clavibacter;Clavibacter michiganensis;Clavibacter michiganensis;;aerobic;
84022;Clostridium;Clostridium aceticum;Clostridium aceticum;;;
76489;Clostridium;Clostridium acetireducens;Clostridium acetireducens;;obligate anaerobic;
1488;Clostridium;Clostridium acetobutylicum;Clostridium acetobutylicum;;;
91624;Clostridium;Clostridium acidisoli;Clostridium acidisoli;;anaerobic;
339861;Clostridium;Clostridium aciditolerans;Clostridium aciditolerans;;anaerobic;
1556;Gottschalkia;Gottschalkia acidurici;Gottschalkia acidurici;;;
36832;Clostridium;Clostridium aerotolerans;Clostridium aerotolerans;yes;obligate anaerobic;
338193;Clostridium;Clostridium aestuarii;Clostridium aestuarii;;obligate anaerobic;
91623;Clostridium;Clostridium akagii;Clostridium akagii;;anaerobic;
358742;Clostridium;Clostridium aldenense;Clostridium aldenense;yes;;
29353;Clostridium;Clostridium aldrichii;Clostridium aldrichii;yes;obligate anaerobic;
37659;Clostridium;Clostridium algidicarnis;Clostridium algidicarnis;;anaerobic;
94868;Clostridium;Clostridium algidixylanolyticum;Clostridium algidixylanolyticum;yes;;
320502;Clostridium;Clostridium alkalicellulosi;Clostridium alkalicellulosi;yes;obligate anaerobic;
1526;Clostridium;Clostridium aminophilum;Clostridium aminophilum;yes;obligate anaerobic;
1527;Anaerocolumna;Anaerocolumna aminovalerica;Anaerocolumna aminovalerica;;;
253257;Clostridium;Clostridium amygdalinum;Clostridium amygdalinum;yes;anaerobic;
29341;Clostridium;Clostridium argentinense;Clostridium argentinense;;anaerobic;
333367;Clostridium;Clostridium asparagiforme;Clostridium asparagiforme;yes;anaerobic;
1551;Clostridium;Clostridium aurantibutyricum;Clostridium aurantibutyricum;;;
1561;Clostridium;Clostridium baratii;Clostridium baratii;;;
261299;Intestinibacter;Intestinibacter bartlettii;Intestinibacter bartlettii;;obligate anaerobic;
1520;Clostridium;Clostridium beijerinckii;Clostridium beijerinckii;;;
1490;Paraclostridium;Paraclostridium bifermentans;Paraclostridium bifermentans;;;
208479;Clostridium;Clostridium bolteae;Clostridium bolteae;yes;obligate anaerobic;
1491;Clostridium;Clostridium botulinum;Clostridium botulinum;;anaerobic;
132925;Clostridium;Clostridium bowmanii;Clostridium bowmanii;;;8.4
1492;Clostridium;Clostridium butyricum;Clostridium butyricum;;anaerobic;
1529;Clostridium;Clostridium cadaveris;Clostridium cadaveris;;;
191027;Paramaledivibacter;Paramaledivibacter caminithermalis;Paramaledivibacter caminithermalis;;obligate anaerobic;
217159;Clostridium;Clostridium carboxidivorans;Clostridium carboxidivorans;;obligate anaerobic;
1530;Clostridium;Clostridium carnis;Clostridium carnis;;anaerobic;
36834;Clostridium;Clostridium celatum;Clostridium celatum;;;
29354;Clostridium;Clostridium celerecrescens;Clostridium celerecrescens;yes;anaerobic;
29355;Clostridium;Clostridium cellobioparum;Clostridium cellobioparum;yes;;
1521;Clostridium;Clostridium cellulolyticum;Clostridium cellulolyticum;yes;anaerobic;
29343;Clostridium;Clostridium cellulosi;Clostridium cellulosi;yes;obligate anaerobic;
1493;Clostridium;Clostridium cellulovorans;Clostridium cellulovorans;;anaerobic;
29356;Clostridium;Clostridium chartatabidum;Clostridium chartatabidum;;obligate anaerobic;
46867;Clostridium;Clostridium chauvoei;Clostridium chauvoei;;;
358743;Clostridium;Clostridium citroniae;Clostridium citroniae;yes;anaerobic;
1531;Clostridium;Clostridium clostridioforme;Clostridium clostridioforme;yes;anaerobic;
1532;Blautia;Blautia coccoides;Blautia coccoides;;;
1494;Clostridium;Clostridium cochlearium;Clostridium cochlearium;;;
69824;Clostridium;Clostridium cocleatum;Clostridium cocleatum;yes;;
179628;Clostridium;Clostridium colicanis;Clostridium colicanis;;anaerobic;
36835;Clostridium;Clostridium colinum;Clostridium colinum;yes;;
29357;Clostridium;Clostridium collagenovorans;Clostridium collagenovorans;;anaerobic;
1495;Clostridium;Clostridium cylindrosporum;Clostridium cylindrosporum;;obligate anaerobic;
1496;Clostridioides;Clostridioides difficile;Clostridioides difficile;;;
223919;Clostridium;Clostridium diolis;Clostridium diolis;;;
84024;Clostridium;Clostridium disporicum;Clostridium disporicum;;obligate anaerobic;
332101;Clostridium;Clostridium drakei;Clostridium drakei;;obligate anaerobic;
238834;Clostridium;Clostridium estertheticum;Clostridium estertheticum;;;
1533;Clostridium;Clostridium fallax;Clostridium fallax;;;
36839;Clostridium;Clostridium felsineum;Clostridium felsineum;;anaerobic;
99656;Clostridium;Clostridium fimetarium;Clostridium fimetarium;yes;obligate anaerobic;
1497;Clostridium;Clostridium formicaceticum;Clostridium formicaceticum;;aerobic;
84698;Clostridium;Clostridium frigidicarnis;Clostridium frigidicarnis;;;
205327;Clostridium;Clostridium frigoris;Clostridium frigoris;;;
312089;Clostridium;Clostridium ganghwense;Clostridium ganghwense;;obligate anaerobic;
94869;Clostridium;Clostridium gasigenes;Clostridium gasigenes;;;
29358;Paeniclostridium;Paeniclostridium ghonii;Paeniclostridium ghonii;;;
36841;Terrisporobacter;Terrisporobacter glycolicus;Terrisporobacter glycolicus;;;
342942;Clostridium;Clostridium glycyrrhizinilyticum;Clostridium glycyrrhizinilyticum;yes;obligate anaerobic;
40575;Clostridium;Clostridium grantii;Clostridium grantii;;obligate anaerobic;
84025;Clostridium;Clostridium haemolyticum;Clostridium haemolyticum;;anaerobic;
36842;Maledivibacter;Maledivibacter halophilus;Maledivibacter halophilus;;obligate anaerobic;
154046;Hungatella;Hungatella hathewayi;Hungatella hathewayi;;obligate anaerobic;
39479;Clostridium;Clostridium herbivorans;Clostridium herbivorans;yes;obligate anaerobic;
89152;Clostridium;Clostridium hiranonis;Clostridium hiranonis;yes;obligate anaerobic;
1498;Hathewaya;Hathewaya histolytica;Hathewaya histolytica;;aerobic;
36844;Clostridium;Clostridium homopropionicum;Clostridium homopropionicum;;obligate anaerobic;
48256;Clostridium;Clostridium hungatei;Clostridium hungatei;yes;obligate anaerobic;
89153;Clostridium;Clostridium hylemonae;Clostridium hylemonae;yes;obligate anaerobic;
69825;Clostridium;Clostridium indolis;Clostridium indolis;yes;;
1522;Clostridium;Clostridium innocuum;Clostridium innocuum;yes;;
36845;Clostridium;Clostridium intestinale;Clostridium intestinale;;anaerobic;
29359;Asaccharospora;Asaccharospora irregularis;Asaccharospora irregularis;;;
182773;Clostridium;Clostridium isatidis;Clostridium isatidis;;anaerobic;
259063;Anaerocolumna;Anaerocolumna jejuensis;Anaerocolumna jejuensis;;obligate anaerobic;10.5
1499;Clostridium;Clostridium josui;Clostridium josui;yes;anaerobic;
1534;Clostridium;Clostridium kluyveri;Clostridium kluyveri;;;
160404;Anaerotignum;Anaerotignum lactatifermentans;Anaerotignum lactatifermentans;;obligate anaerobic;
205328;Clostridium;Clostridium lacusfryxellense;Clostridium lacusfryxellense;;;10.7
29360;Cellulosilyticum;Cellulosilyticum lentocellum;Cellulosilyticum lentocellum;;obligate anaerobic;
1535;Clostridium;Clostridium leptum;Clostridium leptum;yes;anaerobic;
1536;Hathewaya;Hathewaya limosa;Hathewaya limosa;;;
1557;Peptoclostridium;Peptoclostridium litorale;Peptoclostridium litorale;;obligate anaerobic;
1537;Romboutsia;Romboutsia lituseburensis;Romboutsia lituseburensis;;;
1538;Clostridium;Clostridium ljungdahlii;Clostridium ljungdahlii;;anaerobic;
319475;Clostridium;Clostridium lundense;Clostridium lundense;;obligate anaerobic;
33954;Clostridium;Clostridium magnum;Clostridium magnum;;obligate anaerobic;
1539;Clostridium;Clostridium malenominatum;Clostridium malenominatum;;;
1540;Clostridioides;Clostridioides mangenotii;Clostridioides mangenotii;;;
1541;Terrisporobacter;Terrisporobacter mayombei;Terrisporobacter mayombei;;obligate anaerobic;
81424;Clostridium;Clostridium methoxybenzovorans;Clostridium methoxybenzovorans;yes;obligate anaerobic;
84026;Clostridium;Clostridium methylpentosum;Clostridium methylpentosum;yes;obligate anaerobic;
36847;Anaerotignum;Anaerotignum neopropionicum;Anaerotignum neopropionicum;;obligate anaerobic;
29361;Tyzzerella;Tyzzerella nexilis;Tyzzerella nexilis;;;
382954;Clostridium;Clostridium nitrophenolicum;Clostridium nitrophenolicum;;obligate anaerobic;
1542;Clostridium;Clostridium novyi;Clostridium novyi;;obligate anaerobic;
1543;Clostridium;Clostridium oceanicum;Clostridium oceanicum;;;
1544;Faecalicatena;Faecalicatena orotica;Faecalicatena orotica;;;
29362;Clostridium;Clostridium papyrosolvens;Clostridium papyrosolvens;yes;;
29346;Clostridium;Clostridium paradoxum;Clostridium paradoxum;yes;anaerobic;
29363;Clostridium;Clostridium paraputrificum;Clostridium paraputrificum;;;
46609;Clostridium;Clostridium pascui;Clostridium pascui;;anaerobic;
1501;Clostridium;Clostridium pasteurianum;Clostridium pasteurianum;;;
100174;Clostridium;Clostridium peptidivorans;Clostridium peptidivorans;;obligate anaerobic;
1502;Clostridium;Clostridium perfringens;Clostridium perfringens;;anaerobic;
66219;Lachnoclostridium;Lachnoclostridium phytofermentans;Lachnoclostridium phytofermentans;;obligate anaerobic;
69208;Clostridium;Clostridium polyendosporum;Clostridium polyendosporum;;anaerobic;
29364;Clostridium;Clostridium polysaccharolyticum;Clostridium polysaccharolyticum;yes;;
37658;Clostridium;Clostridium populeti;Clostridium populeti;yes;anaerobic;
28446;Anaerotignum;Anaerotignum propionicum;Anaerotignum propionicum;;;
43305;Butyrivibrio;Butyrivibrio proteoclasticus;Butyrivibrio proteoclasticus;;obligate anaerobic;
29365;Hathewaya;Hathewaya proteolytica;Hathewaya proteolytica;;obligate anaerobic;
132926;Clostridium;Clostridium psychrophilum;Clostridium psychrophilum;;;33.9
29367;Clostridium;Clostridium puniceum;Clostridium puniceum;;;
1503;Gottschalkia;Gottschalkia purinilyticum;Gottschalkia purinilyticum;;anaerobic;
36850;Clostridium;Clostridium quinii;Clostridium quinii;;obligate anaerobic;
1547;Erysipelatoclostridium;Erysipelatoclostridium ramosum;Erysipelatoclostridium ramosum;;;
36851;Clostridium;Clostridium rectum;Clostridium rectum;yes;;
84029;Clostridium;Clostridium roseum;Clostridium roseum;;;
169679;Clostridium;Clostridium saccharobutylicum;Clostridium saccharobutylicum;;;
341225;Clostridium;Clostridium saccharogumia;Clostridium saccharogumia;yes;obligate anaerobic;
84030;Clostridium;Clostridium saccharolyticum;Clostridium saccharolyticum;yes;anaerobic;
36745;Clostridium;Clostridium saccharoperbutylacetonicum;Clostridium saccharoperbutylacetonicum;;;
29369;Clostridium;Clostridium sardiniense;Clostridium sardiniense;;;
84031;Clostridium;Clostridium sartagoforme;Clostridium sartagoforme;;;
1548;Clostridium;Clostridium scatologenes;Clostridium scatologenes;;;
351628;Clostridium;Clostridium schirmacherense;Clostridium schirmacherense;;obligate anaerobic;
29347;Clostridium;Clostridium scindens;Clostridium scindens;yes;anaerobic;
1504;Clostridium;Clostridium septicum;Clostridium septicum;;;
1505;Paeniclostridium;Paeniclostridium sordellii;Paeniclostridium sordellii;;;
29370;Clostridium;Clostridium sphenoides;Clostridium sphenoides;yes;;
29348;Clostridium;Clostridium spiroforme;Clostridium spiroforme;yes;;
1509;Clostridium;Clostridium sporogenes;Clostridium sporogenes;;;
1549;Clostridium;Clostridium sporosphaeroides;Clostridium sporosphaeroides;yes;;
1510;Clostridium;Clostridium stercorarium;Clostridium stercorarium;yes;obligate anaerobic;
1511;Acetoanaerobium;Acetoanaerobium sticklandii;Acetoanaerobium sticklandii;;;
253314;Clostridium;Clostridium straminisolvens;Clostridium straminisolvens;yes;anaerobic;
1512;Clostridium;Clostridium symbiosum;Clostridium symbiosum;yes;;
420412;Clostridium;Clostridium tepidiprofundi;Clostridium tepidiprofundi;;anaerobic;
29371;Clostridium;Clostridium termitidis;Clostridium termitidis;yes;obligate anaerobic;
1559;Clostridium;Clostridium tertium;Clostridium tertium;;anaerobic;
1513;Clostridium;Clostridium tetani;Clostridium tetani;;;
1553;Clostridium;Clostridium tetanomorphum;Clostridium tetanomorphum;;anaerobic;
29349;Clostridium;Clostridium thermoalcaliphilum;Clostridium thermoalcaliphilum;yes;obligate anaerobic;0.316666667
29372;Clostridium;Clostridium thermobutyricum;Clostridium thermobutyricum;;anaerobic;
1515;Ruminiclostridium;Ruminiclostridium thermocellum;Ruminiclostridium thermocellum;;;
29373;Clostridium;Clostridium thermopalmarium;Clostridium thermopalmarium;;obligate anaerobic;
84032;Clostridium;Clostridium thermosuccinogenes;Clostridium thermosuccinogenes;yes;anaerobic;
150336;Clostridium;Clostridium thiosulfatireducens;Clostridium thiosulfatireducens;;anaerobic;
1519;Clostridium;Clostridium tyrobutyricum;Clostridium tyrobutyricum;;;
119641;Clostridium;Clostridium uliginosum;Clostridium uliginosum;;anaerobic;
45497;Clostridium;Clostridium ultunense;Clostridium ultunense;yes;obligate anaerobic;
52704;Clostridium;Clostridium vincentii;Clostridium vincentii;;obligate anaerobic;
47246;Clostridium;Clostridium viride;Clostridium viride;yes;obligate anaerobic;
29375;Clostridium;Clostridium xylanolyticum;Clostridium xylanolyticum;yes;obligate anaerobic;
100134;Anaerocolumna;Anaerocolumna xylanovorans;Anaerocolumna xylanovorans;;obligate anaerobic;
78329;Coenonia;Coenonia anatina;Coenonia anatina;;;
74426;Collinsella;Collinsella aerofaciens;Collinsella aerofaciens;;anaerobic;
147207;Collinsella;Collinsella intestinalis;Collinsella intestinalis;;obligate anaerobic;
147206;Collinsella;Collinsella stercoris;Collinsella stercoris;;obligate anaerobic;
89401;Colwellia;Colwellia demingiae;Colwellia demingiae;;;
89402;Colwellia;Colwellia hornerae;Colwellia hornerae;;;
77524;Colwellia;Colwellia maris;Colwellia maris;;aerobic;
28229;Colwellia;Colwellia psychrerythraea;Colwellia psychrerythraea;;;
89403;Colwellia;Colwellia psychrotropica;Colwellia psychrotropica;;;
37450;Colwellia;Colwellia rossensis;Colwellia rossensis;;;
117506;Comamonas;Comamonas denitrificans;Comamonas denitrificans;;;
160825;Comamonas;Comamonas koreensis;Comamonas koreensis;;aerobic;
108437;Comamonas;Comamonas nitrativorans;Comamonas nitrativorans;;aerobic;
191495;Conexibacter;Conexibacter woesei;Conexibacter woesei;;aerobic;
1172621;Conyzicola;Conyzicola lurida;Conyzicola lurida;;;
116085;Coprococcus;Coprococcus catus;Coprococcus catus;;anaerobic;
410072;Coprococcus;Coprococcus comes;Coprococcus comes;;anaerobic;
33043;Coprococcus;Coprococcus eutactus;Coprococcus eutactus;;anaerobic;
108819;Coprothermobacter;Coprothermobacter platensis;Coprothermobacter platensis;;obligate anaerobic;
35786;Coprothermobacter;Coprothermobacter proteolyticus;Coprothermobacter proteolyticus;;obligate anaerobic;
395922;Coraliomargarita;Coraliomargarita akajimensis;Coraliomargarita akajimensis;;;
184914;Corallococcus;Corallococcus coralloides;Corallococcus coralloides;;;
83462;Corallococcus;Corallococcus exiguus;Corallococcus exiguus;;;
33871;Coriobacterium;Coriobacterium glomerans;Coriobacterium glomerans;;obligate anaerobic;
38284;Corynebacterium;Corynebacterium accolens;Corynebacterium accolens;;facultative;
38286;Corynebacterium;Corynebacterium afermentans;Corynebacterium afermentans;;aerobic;
1697;Corynebacterium;Corynebacterium ammoniagenes;Corynebacterium ammoniagenes;;facultative;
43765;Corynebacterium;Corynebacterium amycolatum;Corynebacterium amycolatum;;facultative;
163202;Corynebacterium;Corynebacterium appendicis;Corynebacterium appendicis;;facultative;
203263;Corynebacterium;Corynebacterium aquilae;Corynebacterium aquilae;;facultative;
42817;Corynebacterium;Corynebacterium argentoratense;Corynebacterium argentoratense;;facultative;
191610;Corynebacterium;Corynebacterium atypicum;Corynebacterium atypicum;;facultative;
169292;Corynebacterium;Corynebacterium aurimucosum;Corynebacterium aurimucosum;;facultative;
99807;Corynebacterium;Corynebacterium auriscanis;Corynebacterium auriscanis;;obligate aerobic;
36808;Corynebacterium;Corynebacterium bovis;Corynebacterium bovis;;aerobic;
161896;Corynebacterium;Corynebacterium camporealensis;Corynebacterium camporealensis;;facultative;
679663;Corynebacterium;Corynebacterium canis;Corynebacterium canis;;facultative;
131081;Corynebacterium;Corynebacterium capitovis;Corynebacterium capitovis;;facultative;
160386;Corynebacterium;Corynebacterium casei;Corynebacterium casei;;facultative;
234828;Corynebacterium;Corynebacterium caspium;Corynebacterium caspium;;facultative;
227319;Corynebacterium;Corynebacterium ciconiae;Corynebacterium ciconiae;;facultative;
71254;Corynebacterium;Corynebacterium confusum;Corynebacterium confusum;;facultative;
53374;Corynebacterium;Corynebacterium coyleae;Corynebacterium coyleae;;facultative;
35757;Corynebacterium;Corynebacterium cystitidis;Corynebacterium cystitidis;;aerobic;
1717;Corynebacterium;Corynebacterium diphtheriae;Corynebacterium diphtheriae;;;
1121358;Corynebacterium;Corynebacterium doosanense;Corynebacterium doosanense;;aerobic;
61592;Corynebacterium;Corynebacterium durum;Corynebacterium durum;;aerobic;
152794;Corynebacterium;Corynebacterium efficiens;Corynebacterium efficiens;;facultative;
108486;Corynebacterium;Corynebacterium falsenii;Corynebacterium falsenii;;anaerobic;
131318;Corynebacterium;Corynebacterium felinum;Corynebacterium felinum;;facultative;
28028;Corynebacterium;Corynebacterium flavescens;Corynebacterium flavescens;;aerobic;
556548;Corynebacterium;Corynebacterium freiburgense;Corynebacterium freiburgense;;facultative;
187491;Corynebacterium;Corynebacterium glaucum;Corynebacterium glaucum;;facultative;
39791;Corynebacterium;Corynebacterium glucuronolyticum;Corynebacterium glucuronolyticum;;facultative;
1718;Corynebacterium;Corynebacterium glutamicum;Corynebacterium glutamicum;;aerobic;
