kremer_genus;kremer_species;kremer_species;kremer_source;kremer_growthTemp;kremer_growthRate;kremer_growthRateLnCorr
Asterionellopsis;Asterionellopsis glacialis;Asterionellopsis glacialis;marine;8|11|12.5|14.5|17|21|24|27|31|34|0|5|10|15|20|25|28|1|4.5|7|9|11.5|14.2|17|20.3|22|25.7;0.07624619|0.492134498|0.554517744|0.824845145|1.15062432|1.275390812|1.157555792|1.351637002|1.642758818|1.240733453|0.298053288|0.658489822|1.109035489|1.538786741|1.892291803|1.989332408|1.92001769|0.374299478|0.547586273|0.887228391|1.046652243|0.887228391|0.325779175|1.275390812|0.762461899|0.956543109|0.852571032;10.63432219|12.35965815|12.410379|12.71708799|12.93871975|12.86762842|12.6432319|12.67333089|12.70568209|12.30575685|12.38446533|12.9327605|13.21830665|13.31824096|13.30522902|13.14280542|12.98326627|12.56265981|12.77237354|13.13560374|13.20689438|12.92605287|11.80159007|13.04166772|12.3832874|12.5371736|12.26633405
Aulacoseira;Aulacoseira baicalensis;Aulacoseira baicalensis;freshwater;2.5|5.5|8;0.15|0.13|0.1;11.57452933|11.28639009|10.90552493
Aulacoseira;Aulacoseira granulata;Aulacoseira granulata;freshwater;15|20|25|30;0.418|0.715|0.779|0.87;12.01497284|12.33196759|12.20526208|12.11031779
Biceratium;Biceratium furca;Biceratium furca;marine;12|14|16|18|20|22|24|26|28|30|10|15|20|25|10|15|20|25;0.034|0.208|0.227|0.433|0.435|0.494|0.574|0.521|0.267|0.045747714|0.189922327|0.2335906|0.149026644|0.069314718|0.145560908|0.249|0.324|0.263395929|0.406|0.552|0.459|0.523;9.6414358|11.36190933|11.35987201|11.91743937|11.83503108|11.87638326|11.94179531|11.76136642|11.67892663|10.92907323|10.03020248|11.22610659|11.21325506|10.55137614|10.44571792|10.96008602|11.4969443|11.76023492|11.33334338|11.76603821|12.0732331|11.67630125|11.8068325
Botryococcus;Botryococcus braunii;Botryococcus braunii;freshwater;20|23|25|27|30;0.087|0.095|0.082|0.077|0.061;10.22559317|10.18524075|9.953970282|9.808064577|9.452698438
Ceratium;Ceratium furcoides;Ceratium furcoides;freshwater;11|14|17|20|25;0.041588831|0.090109133|0.159423852|0.201012682|0.194081211;9.888737752|10.52539277|10.96222618|11.06305305|10.81552772
Ceratium;Ceratium schrankii;Ceratium schrankii;marine;15|20|25;0.106744666|0.188536033|0.177445678;10.64993109|10.9989742|10.72591556
Ceratium;Ceratium tripos;Ceratium tripos;marine;5|10|15|20|25;0.158730704|0.168434765|0.176059384|0.195467505|0.133084259;11.51002052|11.33360918|11.15031275|11.0350792|10.43823349
Chaetoceros;Chaetoceros ;Chaetoceros ;marine;1|3|5|25|27|30|33|35|20|25|29|33|37|4|10|20|0|2|5|10;0.308|0.406|0.462|0.74|0.84|0.87|0.76|0.78|2.066271745|2.162619203|2.418390513|2.978453435|2.203514887|2.267284428|3.338889969|3.850432588|2.835665116|2.916070189|4.355736883|4.403564038|3.309777787|3.741608481|3.837262792|3.99737979|2.519590001|2.599995074|3.320174995|3.65565823|0.42|0.54|1.22|0.518|0.444|0.576|0.352;12.36770337|12.54585529|12.57837633|12.15390122|12.19766105|12.11031779|11.85510793|11.80235848|13.39318622|13.43876041|13.55054257|13.75884451|13.24506008|13.27358914|13.66064472|13.80319182|13.33239776|13.36035812|13.76161504|13.77253546|13.32642583|13.44906037|13.47430407|13.51518387|12.8972064|12.92861976|13.1731277|13.26938638|12.53123706|12.4986298|12.86629119|12.93716828|12.68419915|12.7989191|12.07069183
Chaetoceros;Chaetoceros affinis;Chaetoceros affinis;marine;10|12|15|18|20|25|27;0.1|0.3|0.8|1.3|1|1.5|1.3;10.81223084|11.81885775|12.66410313|13.01682119|12.66744033|12.86047142|12.6343787
Chaetoceros;Chaetoceros calcitrans;Chaetoceros calcitrans;marine;10|15|17.5|20|25|17|20|23|25|27|29;0.525|0.625|0.664|0.942|1.041|1.071|1.874|2.013|1.527|1.735|1.844|2.042|2.915|3.054|3.093|3.371|0.395|0.677|0.74|0.747|0.416|1.125|1.179|1.195|0.462|1.524|1.563|1.589|0.526|1.332|1.447|1.461|0.425|0.982|1.03|1.034|0.41|0.905|0.991|1.017;12.47045892|12.64481231|12.70534281|13.05506593|12.92742848|12.95583948|13.51532187|13.47602433|13.09074536|13.21844774|13.27937745|13.38137005|13.52487613|13.57145852|13.58414781|13.67021575|11.86954556|12.40833106|12.49730998|12.50672498|11.79037031|12.78522336|12.83210695|12.84558651|11.76692875|12.96045759|12.98572619|13.00222402|11.81255225|12.74168789|12.82449876|12.83412745|11.51634832|12.35385046|12.40157324|12.40544921|11.39852312|12.1903009|12.28108049|12.30697836
Chaetoceros;Chaetoceros curvisetus;Chaetoceros curvisetus;marine;12|17|22;0.266|0.28|0.3528|0.378|0.392|0.3976;11.69857158|11.74986488|11.75656112|11.82555399|11.64510958|11.65929422
Chaetoceros;Chaetoceros deflandrei;Chaetoceros deflandrei;marine;2|3|5|7|10|13|15;0.39|0.284190344|0.436682724|0.546|0.591|0.828|0.876|0.450545667|0.549|0.691|0.806|0.829|0.450545667|0.494|0.699|0.732|0.747|0.33|0.732|0.747|0.322|0.725|0.762|0.79;12.55452133|12.18914637|12.52201834|12.74543041|12.82462746|13.16182459|13.21817753|12.45796075|12.65559975|12.88564113|13.03958505|13.06772146|12.3175201|12.40959618|12.7567114|12.80284117|12.82312584|11.86865743|12.66534529|12.68562996|11.75404295|12.56566306|12.61543796|12.65152435
Chaetoceros;Chaetoceros didymus;Chaetoceros didymus;marine;12.5|14.5|17|21|24|27|31|11|14|17|20|24|27;0.291121816|1.213007566|1.247664925|1.441746136|1.310048171|1.046652243|1.15062432|0.519860385|0.554517744|1.247664925|1.039720771|0.831776617|1.247664925;11.76602198|13.10275047|13.01968881|12.99023074|12.7669851|12.41761117|12.34960974|12.41446639|12.34247006|13.01968881|12.70639252|12.31272983|12.59328818
Chaetoceros;Chaetoceros gracilis;Chaetoceros gracilis;marine;10|15|17.5|20|25|14|20|23|26|28|30|32|36;0.377|0.436|0.446|0.754|0.992|1.071|1.101|1.13|1.547|1.309|1.517|1.656|1.795|1.031|1.269|1.795|1.824|1.864|0.098|0.9954|1.54|1.8802|1.9922|2.2988|2.2218|1.6926;12.13930585|12.2847029|12.30737961|12.83245303|12.87921451|12.95583948|12.98346554|13.00946432|13.21271576|12.93670382|13.08417503|13.17184539|13.25244535|12.48553552|12.6932355|13.04001134|13.05603821|13.07773103|10.60933873|12.66282972|12.97090155|13.04474982|13.02017143|13.0819671|12.9676119|12.53810515
Chaetoceros;Chaetoceros lorenzianus;Chaetoceros lorenzianus;marine;14|17|21|28|31|34|14|17|20|24|27|30|33|14|17|20|24|27|33|11|14|17|24|27|30|33;0.554517744|1.386294361|1.039720771|0.311916231|0.623832463|0.831776617|0.623832463|1.039720771|2.218070978|0.970406053|1.594238515|0.762461899|0.554517744|1.386294361|1.594238515|0.693147181|0.415888308|0.831776617|0.901091335|1.732867951|1.594238515|1.386294361;12.34247006|12.2087586|12.95101003|12.65756613|12.24825724|10.92503353|12.46025309|12.32654163|12.48324897|12.02504776|12.41096662|13.04621774|12.09950409|13.39852273|12.52721233|12.07778386|12.82355545|12.83841064|11.76303185|12.70214846|12.05478798|12.61422371|12.39277254|12.92179225|12.71597606|12.45617903
Chaetoceros;Chaetoceros pseudocurvisetus;Chaetoceros pseudocurvisetus;marine;20|25|30;1.174|1.622|1.031;12.82785705|12.93866627|12.28010906
Chaetoceros;Chaetoceros simplex;Chaetoceros simplex;marine;10|15|17.5|20|25|13|16.5|20|25|17|20|25;0.432|0.769|0.848|0.958|1.305|2.103|1.483|1.91|2.078|2.326|2.395|2.435|2.534|0.405|0.656|0.701|0.69|0.836|1.325|1.826;12.27548625|12.85215163|12.72237204|12.84433918|13.15344973|13.51976308|13.06150739|13.31454357|13.39884622|13.29915637|13.32838954|13.34495307|13.3848054|12.07345184|12.39891348|12.31219294|12.08394263|12.6192884|12.94885279|13.0571341
Chlamydomonas;Chlamydomonas ;Chlamydomonas ;freshwater;20|6|9|14|20|30|0|5|10|15;0.58|0.39|0.4|0.26|0.19|0.05|0.42|0.52|0.55|0.59|0.62|0.48|0.49|0.6|0.66|0.69|0.33|0.44|0.55|0.58|0.6|0.37|0.38|0.41|0.49|0.71;12.12271315|12.3611324|12.24500692|11.58505288|11.00670912|9.25384758|12.72744775|12.94102185|12.99711132|13.06731557|13.11691252|12.61659754|12.63721683|12.83974109|12.93505127|12.97950304|12.00615331|12.29383538|12.51697894|12.57008876|12.60399031|11.89299441|11.91966266|11.99564857|12.1738968|12.54475638
Chlamydomonas;Chlamydomonas acidophila;Chlamydomonas acidophila;freshwater;15|20|25|30;0.586|1|0.754|0.405;12.3528112|12.66744033|12.1726434|11.34571164
Chlamydomonas;Chlamydomonas alpina;Chlamydomonas alpina;freshwater;-1|2|5|7.5|10|12.5|15|18;0.055451774|0.07624619|0.235670041|0.353505062|0.582243632|0.984268996|0.720873068|0.207944154;10.75266062|10.92234203|11.90524413|12.19178383|12.57394963|12.98417942|12.55995448|11.1839712
Chlamydomonas;Chlamydomonas globosa;Chlamydomonas globosa;freshwater;5|7.5|10|12.5|15|18|20;0.533723329|0.609969519|0.707010124|0.84563956|1.053583714|1.261527869|1.219939038;12.72268903|12.73729501|12.76810564|12.83237341|12.9394441|12.9867805|12.86624122
Chlamydomonas;Chlamydomonas reinhardtii;Chlamydomonas reinhardtii;freshwater;8.5|9.5|14.5|15.5|16|17|19.5|20|22|25|25.5|26.5|27|28|30|32.5|33|34|34.5|20|25|27.5|32.5|35;0.0107|0.033|0.045|0.0682|0.0516|0.0384|0.0503|0.055|0.0758|0.0736|0.045|0.0846|0.0714|0.1079|0.0758|0.0726|0.0868|0.0954|0.0679|0.1066|0.0906|0.0318|0.0406|0.0956|0.044|1.16|0.95|1.38|1.2;8.647150747|9.726767965|9.808554812|10.22433689|9.90068977|9.58297945|9.852927068|9.942255176|10.21875808|10.07997272|9.56634754|10.11178201|9.815548904|10.20760373|9.813001557|9.749224077|9.927865777|9.981255169|9.559860609|10.01090809|9.748085921|8.681255785|8.886066939|9.742471692|8.946839466|12.81586033|12.40371302|12.67352249|12.33170854|12.23314139
Chlamydomonas;Chlamydomonas subcaudata;Chlamydomonas subcaudata;freshwater;-1|2|5|7.5|10|12.5|15|18;0.249532985|0.415888308|0.561449216|0.693147181|0.762461899|0.935748694|0.734736011|0.138629436;12.25673803|12.61879132|12.77333277|12.86512839|12.8436132|12.93362714|12.57900267|10.77850609
