kremer_genus;kremer_species;kremer_species;kremer_source;kremer_growthTemp;kremer_growthRate;kremer_growthRateLnCorr
Gymnodinium;Gymnodinium aureolum;Gymnodinium aureolum;marine;12.5|15|17.5|20|22.5;0.067928424|0.124766493|0.137243142|0.160116999|0.111596696|0.273099989|0.291814963|0.294587552|0.105358371|0.317461409|0.34657359|0.357663945|0.10327893|0.404797953|0.405491101|0.420740339|0.099120047|0.378458361|0.381230949|0.407570542;10.31073476|10.91872413|11.0140343|11.16818498|10.69438285|11.5893294|11.65561132|11.66506766|10.5260105|11.62899917|11.71673808|11.74823675|10.39711844|11.76307311|11.76478398|11.80170092|10.24890159|11.58867593|11.59597523|11.6627839
Gymnodinium;Gymnodinium catenatum;Gymnodinium catenatum;marine;11.5|13|15|17|18|20|21|23|25|26|27.5|29|30|15|20|25|13|15|17|18|20|21.5|22.5|24|25.5|26.5|27.5;0.087|0.09|0.142|0.167|0.162|0.159|0.178|0.181|0.197|0.181|0.189|0.212|0.111|0.332|0.434|0.533|0.078325631|0.153185527|0.268941106|0.300825876|0.275179431|0.285576638|0.372220036|0.366674859|0.326472322|0.356970798|0.357663945;10.60385856|10.56937444|10.93531846|11.0086536|10.93429798|10.82858925|10.89840404|10.82986089|10.83045476|10.70411341|10.68543073|10.73895224|10.05135478|11.78462638|11.83272958|11.82577246|10.43043966|11.01114119|11.48515221|11.55323325|11.37710841|11.34970825|11.57205505|11.49364143|11.31474403|11.36255724|11.32327756
Gymnodinium;Gymnodinium corollarium;Gymnodinium corollarium;marine;0|2|4|6|8|10;0.257157604|0.291121816|0.326472322|0.311223084|0.097733752|0.069314718;12.23688218|12.26211638|12.27932752|12.13549562|10.88260171|10.44571792
Gyrodinium;Gyrodinium estuariale;Gyrodinium estuariale;marine;8|15|22;0.150412938|0.554517744|0.450545667;11.31373917|12.29759021|11.78430719
Gyrodinium;Gyrodinium uncatenum;Gyrodinium uncatenum;marine;11.3|13|15|16|18|19|20|22|23|25|26|27|28.5|30|31|33|34|15|20;0.074166748|0.166355323|0.189922327|0.26062334|0.254385015|0.289042374|0.364595417|0.381230949|0.433910135|0.462329169|0.450545667|0.478271555|0.445693637|0.34657359|0.462329169|0.289042374|0.08|0.58;10.45343893|11.18369077|11.22610659|11.49799821|11.38555057|11.46961772|11.65847334|11.6172531|11.70420131|11.68352816|11.64189351|11.5747186|11.57291613|11.44145638|11.14964495|11.35806662|10.84887217|10.36151804|12.12271315
Haematococcus;Haematococcus droebakensis;Haematococcus droebakensis;freshwater;4|10|14|20|24|30;0.252305574|0.348653032|0.302212171|0.529564446|0.399252776|0.300825876;12.02162329|12.06113791|11.73550057|12.03173992|11.57876065|11.04835619
Haematococcus;Haematococcus pluvialis;Haematococcus pluvialis;freshwater;20|22|25|28|31|10|15|20|25|28|10|15|20|25|28|15|20|25|28|10|15|20|25|28;0.5278|0.6692|0.735|0.7476|0.3962|0.1|0.579|0.668|0.622|0.526|0.287|0.484|0.688|0.74|0.665|0.47|0.606|0.368|0.341|0.325|0.618|0.514|0.478|0.471;12.02840247|12.17993071|12.14712153|12.04004467|11.28346891|10.81223084|12.34079388|12.26397322|11.98019113|11.6884778|11.86654287|12.16157631|12.29347389|12.15390122|11.92296363|12.1322241|12.16656504|11.45533397|11.25505907|11.99088584|12.40597986|12.00190832|11.71686177|11.57803468
Heterocapsa;Heterocapsa rotundata;Heterocapsa rotundata;marine;5|10|20|25|29;0.485203026|0.970406053|1.455609079|0.758303016|0.134470553;12.62737885|13.08477525|13.04286475|12.1783341|10.2837112
Karenia;Karenia mikimotoi;Karenia mikimotoi;marine;10|15|20|25|30;0.079711926|0.106051519|0.196853799|0.246067249|0.262702781|0.340335266|0.397866482|0.41311572|0.453318256|0.386776127|0.535109623|0.632150229|0.719486773|0.290428669|0.372913183|0.397866482;10.58547987|10.87098566|11.26195272|11.48509628|11.55051469|11.58961626|11.74580153|11.7834128|11.87627948|11.50509708|11.82972266|11.99637811|12.12578918|11.01318257|11.26317021|11.32794105
Karlodinium;Karlodinium veneficum;Karlodinium veneficum;marine;7|10|15|20|24;0.13|0.17|0.18|0.19|0.17|0.21|0.22|0.25|0.27|0.28|0.38|0.41|0.45|0.48|0.45|0.47|0.56|0.57|0.63|0.33|0.38|0.45|0.51|0.57;11.21503576|11.48329974|11.54045816|11.59452538|11.34285909|11.55416819|11.6006882|11.72852158|11.80548262|11.61428101|11.91966266|11.99564857|12.08873899|12.15327751|11.86893263|11.91241774|12.08762183|12.10532141|12.20540487|11.38825857|11.52933717|11.6984135|11.82357664|11.93480227
Leptocylindrus;Leptocylindrus danicus;Leptocylindrus danicus;marine;17|21|28|31;0.34657359|0.901091335|1.524923797|0.901091335;11.73875497|12.52022711|12.75287631|12.1051564
Leptolyngbya;Leptolyngbya tenuis;Leptolyngbya tenuis;freshwater;20|30;1.08|1.31|0.59|0.91;12.74440137|12.93746747|11.72194711|12.15526917
Limnothrix;Limnothrix redekei;Limnothrix redekei;freshwater;5|8|10|11|14|15|17|20|23|25|30;0.045747714|0.164275882|0.075553043|0.360436534|0.107437813|0.129618523|0.692454033|0.160810146|0.203785271|1.113887519|0.198933241|1.342626089|0.465794905;10.26595326|11.54435866|10.62518971|12.09437655|10.8378183|10.88896695|12.51973326|10.97088424|11.0767519|12.7752965|10.92433315|12.74963378|11.48556999
Lingulodinium;Lingulodinium polyedrum;Lingulodinium polyedrum;marine;10|15|20;0.031191623|0.149026644|0.21140989;9.647210223|10.98361652|11.11348391
Lobochlamys;Lobochlamys segnis;Lobochlamys segnis;freshwater;-1|2|5|7.5|10|12.5|15|18;0.332710647|0.429751252|0.693147181|0.797119258|0.790187786|0.894159863|1.067446658|1.095172545;12.5444201|12.65158114|12.9840538|13.00489033|12.87933128|12.88816477|12.95251618|12.84536885
Melosira;Melosira italica;Melosira italica;freshwater;4|8|12|16|20|24;0.045747714|0.079711926|0.128925376|0.148333497|0.145560908|0.096347458;10.31412417|10.67877395|10.97430903|10.93438509|10.74027966|10.15712693
Merismopedia;Merismopedia tenuissima;Merismopedia tenuissima;freshwater;15|20|25|30;0.186|0.589|0.626|0.686;11.20523808|12.13811123|11.98660141|11.8727022
Micractinium;Micractinium pusillum;Micractinium pusillum;freshwater;15|20|25|30|35|40;0.11|0.34|0.48|0.56|0.58|0.45;10.67997177|11.58863067|11.72103714|11.66976136|11.50609266|11.05989924
Microcystis;Microcystis aeruginosa;Microcystis aeruginosa;freshwater;13.5|15|16|17|17.5|19|20|21|21.5|22.5|24|25.5|27|28|28.5|30|30.5|31.5|32|32.5|34|34.5|35.5|36|37|37.5|40|20|25|30|35|20|24|28|32|35|15|20|30|18|25|32|15|20|25|30|12|13.5|14.5|15.5|17|17.5|18|18.5|19.5|20.5|21|21.5|22.5|23|23.5|24|24.5|25|26|27|28|28.5|29|30|30.5|31|32|33|34|35.5|36.5|14|15|16|17|19|20|21|22|23|23.5|24.5|25.5|27|28|29|29.5|30.5|31.5|33|34|35|36|37|15|17|18|20|25|27.5|32.5|35|20|25|27.5|30|32.5|35|20|25|30|35|20|25|30|35|40|20|25|30|35|40|15|20|25|30;0.013|0.055|0.10327893|0.071|0.107|0.139|0.175|0.250919279|0.225|0.232|0.239|0.264|0.389548715|0.268|0.279|0.275|0.62937764|0.303|0.264|0.311|0.267|0.682056826|0.261|0.274|0.261|0.264|0.533723329|0.185|0.117|0.111|0.2|0.31|0.47|0.45|0.619673579|0.864354534|1.010608589|1.152010614|0.914261131|0.083|0.42|0.46|0.84|0.81|0.88|1.45|0.37|0.44|0.59|0.174|0.497|0.91|1.096|0.014|0.062|0.093|0.085|0.127|0.106|0.153|0.147|0.164|0.166|0.205|0.147|0.222|0.162|0.188|0.219|0.24|0.191|0.256|0.216|0.202|0.277|0.266|0.217|0.266|0.201|0.274|0.248|0.214|0.263|0.266|0.247|0.214|0.278|0.281|0.251|0.232|0.277|0.166|0.088|0.022|0.057|0.083|0.104|0.136|0.196|0.188|0.201|0.258|0.253|0.285|0.257|0.253|0.286|0.258|0.275|0.286|0.257|0.24|0.244|0.166|0.192|0.154|0.308|0.182|0.28|0.504|0.58|0.67|1.05|1.16|1.01|0.26|0.77|0.82|0.94|0.93|0.7|0.194|0.312|0.309|0.416|0.316|0.523|0.233|0.268|0.602|0.902|1.105|1.493|0.695|0.235|0.397|0.661|1.066|0.386|0.662|0.925|0.731|0.501;8.611877953|9.986824592|10.57235538|10.15333967|10.54147174|10.73751835|10.92447102|11.28481634|11.13272089|11.1419352|11.12903343|11.16511502|11.55415484|11.11738584|11.09547094|11.03994769|11.86790805|11.11647026|10.91777368|11.06144693|10.86876019|11.78665192|10.80615212|10.79542698|10.72717024|10.69949184|11.38396166|10.28571076|9.808257808|9.66018186|11.05800242|11.28382333|11.49455727|11.25231214|12.1888779|12.35114894|12.34148458|12.310803|11.96118079|10.39833201|11.79993976|11.89091154|12.49308694|12.03885882|12.12174648|12.62114341|11.76020465|11.63402576|11.64166148|11.13854671|11.96827508|12.36069563|12.34124704|8.754132605|10.17406298|10.53449182|10.39981935|10.80135518|10.55409889|10.89908083|10.83713423|10.92470204|10.89331548|11.10433767|10.72854869|11.11929787|10.78279416|10.88901184|11.04164161|11.11200278|10.86250275|11.13434336|10.94345168|10.85551873|11.17126854|11.08911269|10.84415651|11.04775546|10.7264815|11.0363047|10.9161662|10.74834198|10.95451999|10.92532088|10.83104235|10.66752579|10.92917089|10.89989361|10.74724243|10.62903624|10.80631638|10.23553053|9.562025044|9.115413702|10.02254267|10.3537626|10.53505069|10.71569931|11.03779971|10.95306245|10.97715265|11.18432344|11.14361881|11.22066245|11.07547494|11.01333524|10.95656608|11.03835777|10.91502136|10.93842511|10.93750334|10.77086558|10.6629378|10.64023278|10.21607185|10.32285031|11.01644401|11.62075957|11.05070833|11.39447465|11.98226132|12.12271315|12.05452875|12.40022915|12.29780699|12.06077017|11.32036668|12.19364155|12.15298805|12.18770445|12.07681629|11.69414489|11.02754321|11.50268824|11.28059231|11.5779363|11.09756679|11.60140604|10.59410301|10.73405154|12.1599425|12.35186556|12.34942519|12.45160735|11.4945635|11.21927056|11.53118732|11.83557841|12.11473316|10.90648903|12.47475696|12.58947879|12.14166449|11.55843068
Microcystis;Microcystis flos-aquae;Microcystis flos-aquae;freshwater;15|20|25|30|35;0.66|0.8|0.91|1.4|1.65;12.47173124|12.44429678|12.36069563|12.58605209|12.55159512
Microcystis;Microcystis ichthyoblabe;Microcystis ichthyoblabe;freshwater;10|15|20|25|30|35;0.545|0.628|0.83|0.996|1.244|1.32;12.50784645|12.42203157|12.48111075|12.45099829|12.46791185|12.32845157
Microcystis;Microcystis viridis;Microcystis viridis;freshwater;15|20|25|30;0.07|0.111|0.168|0.093;10.22798665|10.46921525|10.67121501|9.874424067
Microcystis;Microcystis wesenbergii;Microcystis wesenbergii;freshwater;20|25|30|35;0.17|0.16|0.2|0.24;10.89548349|10.62242485|10.64014194|10.62370348
Micromonas;Micromonas pusilla;Micromonas pusilla;marine;4|8|10|16|20|22|24.5|28;1.888826067|0.987734732|2.102315399|1.651769731|2.847448618|1.692665415|2.587518425|0.485203026;14.03469313|13.19576891|13.85785525|13.34452455|13.7138637|13.10790748|13.42662783|11.607744
Monoraphidium;Monoraphidium contortum;Monoraphidium contortum;freshwater;17|22|25|29|5|10|15|20|25|30;0.573925866|1.386294361|1.232415687|1.980321495|0.25|0.293|0.322|0.34|0.35|0.478|0.514|0.516|0.292|0.431|0.515|0.574|0.25|0.418|0.573|0.614|0.176|0.34|0.38|0.43|0.013|0.015|0.018;12.24316003|12.90823728|12.66398253|12.97338044|11.96427236|12.12298405|12.21736298|12.27175706|12.06499381|12.37667139|12.44928392|12.45316742|11.65624521|12.0455995|12.22365831|12.3321208|11.28114597|11.79516648|12.11057077|12.17967998|10.71773503|11.37619665|11.48742229|11.61103624|7.906773932|8.049874775|8.232196332
Monoraphidium;Monoraphidium convolutum;Monoraphidium convolutum;freshwater;25|29|33.5;2.004581646|1.615032931|0.25577131;13.1504417|12.76947659|10.74629571
Monoraphidium;Monoraphidium griffithii;Monoraphidium griffithii;freshwater;20|25|27.5|30|32.5|35;0.6|0.65|0.75|0.69|0.76|0.19;12.15661471|12.0242234|12.06375692|11.87851617|11.87495014|10.39008863
Monoraphidium;Monoraphidium minutum;Monoraphidium minutum;freshwater;15|20|25|30|35|20|25|27.5|32.5;0.72|0.98|1.36|1.55|1.73|0.75|0.69|1.18|0.63;12.55874262|12.64723762|12.76249101|12.68783478|12.59894124|12.37975826|12.08394263|12.51695343|11.68735153
Mucidosphaerium;Mucidosphaerium pulchellum;Mucidosphaerium pulchellum;freshwater;17|22|25|29|33.5|15|20|25|28|32;0.693147181|1.615032931|2.023989767|1.848623531|0.263|0.783|1.39|1.57|1.55;12.43190215|13.06095837|13.16007701|12.90456256|12.72420859|11.55164544|12.42281775|12.78431006|12.78200749|12.60754916
Nannochloris;Nannochloris ;Nannochloris ;marine;20|25|29|33|36;1.360647915|1.673257294|2.052408802|2.152221996|2.531373503|2.556326802|2.834971968|3.13441155|2.812791259|2.850914354;12.97540132|13.18221253|13.17402044|13.22150711|13.21888328|13.22869262|13.17157682|13.27198623|13.04601666|13.05947911
Nannochloris;Nannochloris oceanica;Nannochloris oceanica;marine;14.5|17.3|19.6|22.7|25.6|29.1|32.4;0.553|0.832|1.145|1.367|1.572|1.613|0.783;12.31725032|12.601273|12.82015317|12.86445271|12.88234077|12.76415083|11.90874064
Navicula;Navicula ;Navicula ;marine;4|6|9|14|20|30;0.34|0.26|0.23|0.27|0.25|0.17;12.31992796|11.95566729|11.69162168|11.62279321|11.28114597|10.47762301
Neocalyptrella;Neocalyptrella robusta;Neocalyptrella robusta;marine;13|16|20|23;0.422126633|0.562835511|0.728497687|0.783256314;12.11487012|12.26790941|12.3506695|12.29482385
Neoceratium;Neoceratium fusus;Neoceratium fusus;marine;14|16|18|20|22|24|26|28|30|10|15|20|25;0.223|0.177|0.271|0.351|0.364|0.378|0.525|0.465|0.217|0.11298299|0.202398977|0.144174614|0.099120047;11.43154302|11.11107172|11.44882046|11.62047127|11.57100161|11.52406011|11.76901465|11.565214|10.72172193|10.93429793|11.28973229|10.73071021|10.14358275
Neoceratium;Neoceratium lineatum;Neoceratium lineatum;marine;5|10|15|20|25;0.025646446|0.113676138|0.149026644|0.2335906|0.190615475;9.687216443|10.94041417|10.98361652|11.21325506|10.79750921
Nitzschia;Nitzschia frigida;Nitzschia frigida;marine;-1.8|0|2;0.368|0.316|0.421;12.68545805|12.44293525|12.63100742
Nitzschia;Nitzschia holsatica;Nitzschia holsatica;freshwater;15|20|23|26|30;1.709994094|1.814659319|1.99626388|2.209060064|2.14875626;13.4237366|13.26333808|13.23039651|13.20593878|13.01446904
Nitzschia;Nitzschia paleacea;Nitzschia paleacea;marine;10|15|20|25;0.2|0.38|0.34|0.35;11.50537802|11.91966266|11.58863067|11.40518419
Odontella;Odontella aurita;Odontella aurita;marine;-1.5|0|3|6|12;0.215568773|0.259237046|0.307064201|0.391628157|0.567687541|0.711169007|0.889307833;12.13554177|12.24493592|12.41424989|12.50981494|12.88107329|12.96189576|12.90551872
Odontella;Odontella mobiliensis;Odontella mobiliensis;marine;14.5|21|24|27|31|34;0.214875626|1.095172545|1.039720771|1.351637002|0.99813194|0.464408611;11.3719517|12.7152877|12.53587338|12.67333089|12.20743525|11.32306366
Odontella;Odontella sinensis;Odontella sinensis;marine;10|15|20|25|28|30;0.181958247|0.351201412|0.335480944|0.483591332|0.522347861|0.556904976;11.41083791|11.84085129|11.57525021|11.72849123|11.68151036|11.6642192
Oocystis;Oocystis ;Oocystis ;freshwater;15|20|25|30|35|40;0.045054567|0.24329466|0.25577131|0.255078162|0.298746435|0.2335906|0.247453543|0.232204305|0.234976894|0.188536033|0.197546946;9.787365762|11.25395835|11.30396878|11.08882105|11.24684621|10.79539458|10.85304743|10.59068217|10.60255174|10.1899408|10.23662792
Oscillatoria;Oscillatoria ;Oscillatoria ;freshwater;15|20|25|30|15|21|27;0.557|0.811|1.112|1.098|0.14|0.168|0.224|0.252|0.28|0.126|0.378|0.392;12.30205665|12.4579531|12.56116651|12.3430702|10.92113383|11.10345539|11.39113746|11.24604958|11.35141009|10.30054106|11.39915335|11.435521
Pandorina;Pandorina morum;Pandorina morum;freshwater;9.5|15.5|20|26|29.5;0.280031461|0.460942875|0.325086028|0.264782223|0.147640349;11.86516236|12.09044222|11.5437749|11.08452407|10.35684102
Pediastrum;Pediastrum boryanum;Pediastrum boryanum;freshwater;10|14|20|24;0.20170583|0.161503293|0.271020548|0.225272834;11.51387101|11.10889678|11.36187969|11.00647818
Peridinium;Peridinium ;Peridinium ;marine;8|10|12.5|15|18|20|25;0.142367241|0.253866724|0.361164849|0.38390093|0.36672428|0.403463105|0.368109322|0.40279488|0.449162963|0.591668012|0.664747706|0.685618914|0.727065399|0.501381165|0.572673027|0.62486834|0.215917506|0.303063174;11.25876467|11.74387008|12.09639516|12.15744518|11.99689048|12.09236524|11.88787137|11.97791886|12.08687718|12.22964733|12.34610922|12.3770236|12.43571807|11.97705167|12.10999997|12.19722602|10.92214745|11.26119231
Peridinium;Peridinium bipes;Peridinium bipes;freshwater;10|15|20|25|5|10|15|20|25;0.058|0.081|0.09|0.098|0.125|0.083|0.097|0.012|0.095|0.109|0.136|0.13;10.26750367|10.37394056|10.47930108|10.34465253|10.58799879|9.966091643|10.12196201|8.927718088|10.76093755|10.67083929|10.67233994|10.41478549
Phaeodactylum;Phaeodactylum tricornutum;Phaeodactylum tricornutum;marine;5|10|15|20|25|5|10|14|15|16|19|20|21|23|25|10|12|15|17.5|18|20|24|25|10|12|16|18|21|24|26|10|15|19|25|8|9|13|16|17|20|25|5|10|15|25|5|8|10|12|15|18|20|25|27|12|18|24;0.201012682|0.291121816|0.332710647|0.277258872|0.131697964|0.135|0.883|0.41|1.07|0.170514206|0.655024086|0.68344312|0.838014941|0.996745646|0.581|1.507|0.228045422|0.756223574|0.910795395|0.968326611|1.211621272|0.21140989|0.809595907|0.984268996|1.15547635|1.338467206|0.78|1.7|0.187149739|0.866433976|0.968326611|1.321831673|1.468085728|0.182990856|0.825538292|1.02516468|1.435507811|1.508981412|0.167048471|0.55|0.756223574|0.853957326|1.23657457|1.325990556|0.621|0.65|0.692|0.117835021|0.284190344|0.332710647|0.429751252|0.533723329|0.84|0.889|1.384|1.116|1.215|1.243|0.131697964|0.339642118|0.388162421|0.49906597|0.526791857|1.285|1.363|1.462|0.103972077|0.318847703|0.34657359|1.561|1.589|1.638|0.371526889|0.138629436|0.235670041|0.291121816|0.339642118|0.395093893|0.460942875|0.145560908|0.34657359|0.395093893|0.512928914|0.533723329|0.799891846|0.256464457|0.298053288|0.471340083|0.526791857|0.463715464|0.740974336|1.062594628|1.511754001|1.653849173|0.423|0.523|0.538|0.726|0.822|0.923|1.163|0.995|1.393|0.74|1.365|0.25|0.52|0.95|1.07|0.5|0.8|1|1.2|1.4|1.3|1.5|1.6|0.6|0.173286795|0.443614196|0.492134498|0.596106575|0.672352765|0.512928914|0.616900991|0.672352765|0.755530427|0.360436534|0.526791857|0.790187786|0.797119258|0.956543109;11.74617944|11.88080245|11.78676459|11.38463668|10.42776218|11.34808622|13.22613664|12.22321782|13.18247459|11.16318986|12.50904326|12.55151468|12.75540718|12.92886687|12.34424216|13.29736761|11.36446682|12.56325906|12.74924027|12.81049143|13.03463663|11.15684328|12.49957966|12.69494365|12.85531238|13.00232478|12.41897897|13.19806858|10.94852953|12.4810064|12.59218993|12.90339418|13.0083351|10.84080004|12.34739951|12.5639724|12.9006378|12.950554|10.66553505|11.85716931|12.1755881|12.29713226|12.66735143|12.73716608|12.63839174|12.68403302|12.74664661|10.88436079|11.76471951|11.92234846|12.17828183|12.39495287|12.7128933|12.76958864|13.21222454|12.88614905|12.97114226|12.993926|10.72721279|11.67459411|11.8081255|12.05943993|12.11350715|12.91819905|12.97712848|13.04724569|10.23328829|11.35387948|11.43726109|12.90033296|12.9181112|12.9484823|12.1246819|11.04687972|11.57750797|11.78881707|11.94296774|12.09419872|12.06819611|10.82729625|11.69479682|11.82582508|12.08683891|12.12657924|12.40109702|11.136156|11.2864382|11.74474579|11.85597143|11.64488752|12.81502665|12.94796037|13.12407027|12.95811172|12.34772692|12.55993621|12.54140093|12.65711479|12.78130517|12.76255123|12.94941794|12.66242779|12.99890002|12.15390122|12.76616074|11.96427236|12.46088947|12.83595339|12.52266496|12.65741954|12.98496647|13.11481594|13.20515211|13.22371892|13.01682119|13.07290544|12.92500994|11.86118881|11.27002327|12.21003053|12.31382732|12.50549474|12.62585843|12.08683891|12.27141018|12.35748479|12.4741217|11.47648181|11.85597143|12.26143654|12.27017022|12.45249177
Phormidium;Phormidium simplicissimum;Phormidium simplicissimum;freshwater;20|24|28|32|36;0.048|0.179|0.219|0.14|0.139;9.630886061|10.77655172|10.81224832|10.20318137|10.038558
Picochlorum;Picochlorum atomus;Picochlorum atomus;marine;10|15|20|25|30;0.097040605|0.450545667|0.554517744|0.492134498|0.221807098;10.78219016|12.08995085|12.07778386|11.74600308|10.74363265
Planktothrix;Planktothrix agardhii;Planktothrix agardhii;freshwater;20|28|32|36|5|10|15|20|25|30|12.5|16.5|20.5|24.5|27.5|10|15|20|15|20|25|30|35|5|8|11|14|17|20|23|5|10|15|20|25|30|35|20|25|27.5|32.5|35|20|25|30|15|20|25|30|35;0.364|0.378|0.42|0.616|0.644|0.714|0.756|0.378|0.434|0.054758627|0.241215219|0.490055057|0.770086518|1.097945134|1.136068229|0.254|0.44|0.534|0.561|0.491|0.591|0.126|0.14|0.154|0.21|0.238|0.266|0.308|0.252|0.308|0.462|0.504|0.279|0.38|0.384|0.308|0.061|0.029112182|0.050599744|0.101199488|0.148333497|0.182990856|0.222500245|0.246067249|0.34|0.4|0.45|0.4|0.52|0.64|0.5|0.71|0.82|0.7|0.4|0.43|0.6|0.58|0.6|0.93|1.2|1.87|1.18;11.65683892|11.69457925|11.79993976|11.84642355|11.89087532|11.83242191|11.88958032|11.03897826|11.1771286|10.44574637|11.69275022|12.17400915|12.40618792|12.54844669|12.37715323|11.62961446|11.99952741|12.01851195|11.89789418|11.64012784|11.82549973|11.04334256|11.14870308|11.24401326|11.32659894|11.45176208|11.56298772|11.70959119|11.28911414|11.48978483|11.89524994|11.98226132|11.61070319|11.6998563|11.49789359|11.07192436|9.253938421|9.813968151|10.22430126|10.7779998|11.02383435|11.10009598|11.16461325|11.13696873|12.27175706|12.1985252|12.08873899|11.86893263|11.53871558|11.59565339|11.60453273|11.97429315|12.11251601|12.15298805|11.79271204|11.1345291|11.82347026|11.94418069|11.70485268|12.37642106|12.59486964|12.63732787|12.87551828|12.21633427
Planktothrix;Planktothrix mougeotii;Planktothrix mougeotii;freshwater;15|20|30;0.22|0.4|0.56;11.37311895|11.7511496|11.66976136
Pleodorina;Pleodorina californica;Pleodorina californica;freshwater;14|20|24|30;0.036043653|0.304984759|0.262009634|0.156651263;9.609102036|11.47994686|11.15754719|10.39584665
Proboscia;Proboscia indica;Proboscia indica;marine;13|16|20;0.464408611|0.679284237|0.669580176;12.21032956|12.45596164|12.26633596
Prochlorococcus;Prochlorococcus marinus;Prochlorococcus marinus;marine;14.5|17.5|19|22|23.5|26|11|12.5|13|14|14.5|15|16|17|17.5|18|19|20|22|23|23.5|24|25|26|27|17|18|19|21|22|23|24|25|26|27|28|29|17|18|19|22|23|24|25|26|27|28|29|30|31|11|13|14|15|18|19|24|25|26|28|14|16|18|22|23|24|25|26|27|18|19|20|22|23|24|25|26|27|28|29;0.155|0.31|0.477|0.55|0.599|0.489|0.088|0.121|0.205|0.236|0.206|0.236|0.23|0.3|0.278|0.3|0.323|0.427|0.387|0.365|0.535|0.401|0.577|0.394|0.63|0.396|0.377|0.436|0.337|0.283|0.285|0.326|0.36|0.49|0.54|0.575|0.623|0.587|0.609|0.471|0.332|0.166|0.227|0.366|0.401|0.443|0.498|0.435|0.471|0.429|0.435|0.449|0.429|0.099|0.194|0.212|0.242|0.271|0.33|0.46|0.464|0.424|0.282|0.177|0.272|0.309|0.432|0.468|0.486|0.473|0.42|0.364|0.212|0.267|0.17|0.352|0.369|0.3|0.393|0.424|0.448|0.472|0.381;11.04531744|11.6052152|11.97056091|11.98376602|12.00549092|11.69797887|10.63824292|10.88807074|11.39257475|11.48820305|11.32976849|11.44332321|11.3730013|11.59444227|11.49626402|11.55048412|11.58069674|11.85982843|11.71810974|11.5737451|11.95611449|11.62532529|11.96807159|11.56551682|12.03488573|11.52866525|11.43786157|11.58325863|11.28434209|11.53610669|11.49919082|11.5899418|11.60272452|11.86825314|11.922933|11.94353595|11.98179755|11.8806412|11.87607742|11.57803468|11.18750093|11.00264758|10.95868943|11.22799444|11.57648108|11.62532529|11.68273568|11.75785111|11.58096241|11.61911725|11.48463351|11.45771199|11.44884746|11.3630067|10.75602596|11.33742293|11.38095752|11.46842913|11.44882046|11.60213708|11.7203924|11.68713559|11.55534984|11.06508366|11.20052098|11.54072406|11.58004292|11.74227333|11.77983215|11.77537454|11.70634642|11.54587109|11.36141302|11.20328792|11.39029308|10.89548349|11.53747892|11.5421605|11.29294839|11.56297553|11.59698449|11.61040961|11.56905239|11.58015558|11.32516534
Prorocentrum;Prorocentrum donghaiense;Prorocentrum donghaiense;marine;15|20|23|25|30;0.214|0.218|0.451|0.452|0.465|0.469|0.472|0.629|0.63|0.631|0.619|0.624|0.625;11.34546742|11.36398647|11.87115239|11.87336723|11.77340126|11.78196663|11.78834284|11.99138229|11.99297085|11.9945569|11.76992985|11.77797494|11.77957622
Prorocentrum;Prorocentrum gracile;Prorocentrum gracile;marine;8|10|18|20;0.089840704|0.107957142|0.56815069|0.5982869|0.63180355|0.642905964|0.360467742|0.430482871;10.79839289|10.88879497|12.18908832|12.24077205|12.29528015|12.31270011|11.64708752|11.82459258
Prorocentrum;Prorocentrum micans;Prorocentrum micans;marine;8|10|12.5|15|18|20|25;0.09803374|0.080657903|0.099845335|0.126632651|0.220740667|0.255417112|0.261594738|0.300104592|0.359770149|0.381172416|0.401457087|0.463104888|0.352064331|0.381172416|0.468126869|0.518198378|0.542324291|0.554459661;10.88566645|10.59727745|10.810683|11.04835104|11.48926875|11.63517813|11.54628791|11.68362246|11.86495676|11.78995345|11.84180229|11.98465521|11.62349897|11.70293686|11.9084244|11.79760917|11.84311518|11.86524509
