vieirasilva_genus;vieirasilva_species;vieirasilva_strain;vieirasilva_speciesStrain;vieirasilva_growthTemp;vieirasilva_doublingH
Pasteurella;Pasteurella multocida ;PM70;Pasteurella multocida PM70;37;1
Parachlamydia;Parachlamydia sp ;UWE25;Parachlamydia sp UWE25;;48
Petrotoga;Petrotoga mobilis;;Petrotoga mobilis;55;12
Photorhabdus;Photorhabdus luminescens ;laumondii TTO1;Photorhabdus luminescens laumondii TTO1;28;0.5
Photobacterium;Photobacterium profundum ;SS9;Photobacterium profundum SS9;10;2.5
Pirellula;Pirellula sp;;Pirellula sp;28;10
Picrophilus;Picrophilus torridus ;DSM 9790;Picrophilus torridus DSM 9790;60;6
Porphyromonas;Porphyromonas gingivalis ;W83;Porphyromonas gingivalis W83;37;2.7
Propionibacterium;Propionibacterium acnes ;KPA171202;Propionibacterium acnes KPA171202;31;5.1
Prochlorococcus;Prochlorococcus marinus ;marinus CCMP1375;Prochlorococcus marinus marinus CCMP1375;;17
Pseudomonas;Pseudomonas aeruginosa ;PA01;Pseudomonas aeruginosa PA01;37;0.5
Pseudoalteromonas;Pseudoalteromonas haloplanktis;;Pseudoalteromonas haloplanktis;26;0.5
Psychromonas;Psychromonas ingrahamii;;Psychromonas ingrahamii;12;12
Pseudomonas;Pseudomonas putida ;KT2440;Pseudomonas putida KT2440;27;1.1
Pseudomonas;Pseudomonas syringae ;tomato DC3000;Pseudomonas syringae tomato DC3000;27;1.47
Pyrococcus;Pyrococcus abyssi;;Pyrococcus abyssi;96;0.62
Pyrobaculum;Pyrobaculum aerophilum;;Pyrobaculum aerophilum;100;3
Pyrobaculum;Pyrobaculum arsenaticum;;Pyrobaculum arsenaticum;95;1.3
Pyrococcus;Pyrococcus furiosus;;Pyrococcus furiosus;100;0.62
Pyrococcus;Pyrococcus horikoshii;;Pyrococcus horikoshii;98;0.62
Ralstonia;Ralstonia solanacearum ;GMI1000;Ralstonia solanacearum GMI1000;30;4
Rhodoferax;Rhodoferax ferrireducens;;Rhodoferax ferrireducens;25;8
Rhodopseudomonas;Rhodopseudomonas palustris;;Rhodopseudomonas palustris;33;9
Rhodococcus;Rhodococcus sp. ;Strain RHA1;Rhodococcus sp. Strain RHA1;30;5.3
Rhodospirillum;Rhodospirillum rubrum;;Rhodospirillum rubrum;28;3.8
Rhodobacter;Rhodobacter sphaeroides;;Rhodobacter sphaeroides;32;3
Rickettsia;Rickettsia conorii ;Malish 7;Rickettsia conorii Malish 7;35;4.1
Rickettsia;Rickettsia prowazekii;;Rickettsia prowazekii;35;10
Rickettsia;Rickettsia typhi ;wilmington;Rickettsia typhi wilmington;35;10
Rubrobacter;Rubrobacter xylanophilus;;Rubrobacter xylanophilus;60;3.85
Salinibacter;Salinibacter ruber;;Salinibacter ruber;42;14
Salmonella;Salmonella typhimurium ;LT2;Salmonella typhimurium LT2;37;0.4
Shewanella;Shewanella oneidensis ;MR-1;Shewanella oneidensis MR-1;30;0.66
Sinorhizobium;Sinorhizobium meliloti ;1021;Sinorhizobium meliloti 1021;28;1.5
Silicibacter;Silicibacter pomeroyi;;Silicibacter pomeroyi;;1.65
Sorangium;Sorangium cellulosum;;Sorangium cellulosum;30;16
Sodalis;Sodalis glossinidius;;Sodalis glossinidius;25;26
Sphingopyxis;Sphingopyxis alaskensis;;Sphingopyxis alaskensis;;2.39
Streptococcus;Streptococcus agalactiae ;2603VR;Streptococcus agalactiae 2603VR;37;1.8
Staphylococcus;Staphylococcus aureus ;strain N315;Staphylococcus aureus strain N315;34;0.4
Streptomyces;Streptomyces coelicolor ;A3(2);Streptomyces coelicolor A3(2);30;2.2
Staphylococcus;Staphylococcus epidermidis ;ATCC 12228;Staphylococcus epidermidis ATCC 12228;34;0.8
Staphylothermus;Staphylothermus marinus;;Staphylothermus marinus;87;6.3
Streptococcus;Streptococcus mutans ;UA159;Streptococcus mutans UA159;37;0.75
Streptococcus;Streptococcus pneumoniae ;TIGR4;Streptococcus pneumoniae TIGR4;37;0.5
Streptococcus;Streptococcus pyogenes ;M1;Streptococcus pyogenes M1;37;0.4
Streptococcus;Streptococcus thermophilus ;LMG18311;Streptococcus thermophilus LMG18311;37;0.43
Sulfolobus;Sulfolobus acidocaldarius;;Sulfolobus acidocaldarius;70;5.67
Sulfolobus;Sulfolobus solfataricus;;Sulfolobus solfataricus;87;6
Sulfolobus;Sulfolobus tokodaii;;Sulfolobus tokodaii;80;6
Syntrophus;Syntrophus aciditrophicus;;Syntrophus aciditrophicus;35;24
Synechococcus;Synechococcus elongatus ;PCC6301;Synechococcus elongatus PCC6301;32;6.1
Syntrophobacter;Syntrophobacter fumaroxidans;;Syntrophobacter fumaroxidans;37;97.86
Synechocystis;Synechocystis PCC6803;;Synechocystis PCC6803;35;12
Symbiobacterium;Symbiobacterium thermophilum;;Symbiobacterium thermophilum;60;4.2
Synechococcus;Synechococcus sp ;WH8102;Synechococcus sp WH8102;32;6
Thermoplasma;Thermoplasma acidophilum;;Thermoplasma acidophilum;59;2.5
Thiomicrospira;Thiomicrospira crunogena;;Thiomicrospira crunogena;30;1
Thermosynechococcus;Thermosynechococcus elongatus ;BP-1;Thermosynechococcus elongatus BP-1;55;5.4
Thermotoga;Thermotoga maritima;;Thermotoga maritima;80;1.2
Thermoanaerobacter;Thermoanaerobacter tengcongensis;;Thermoanaerobacter tengcongensis;75;1.1
Thermus;Thermus thermophilus ;HB27;Thermus thermophilus HB27;75;2.5
Thermoplasma;Thermoplasma volcanium;;Thermoplasma volcanium;60;2.5
Treponema;Treponema denticola ;ATCC35405;Treponema denticola ATCC35405;37;5
Trichodesmium;Trichodesmium erythraeum;;Trichodesmium erythraeum;28;25
Treponema;Treponema pallidum;;Treponema pallidum;37;33
Tropheryma;Tropheryma whipplei ;Twist;Tropheryma whipplei Twist;37;28
Ureaplasma;Ureaplasma urealyticum;;Ureaplasma urealyticum;37;0.9
Vibrio;Vibrio cholerae;;Vibrio cholerae;37;0.2
Vibrio;Vibrio fischeri ;ES114;Vibrio fischeri ES114;30;0.3
Vibrio;Vibrio parahaemolyticus;;Vibrio parahaemolyticus;25;0.2
Vibrio;Vibrio vulnificus ;CMCP6 chr1;Vibrio vulnificus CMCP6 chr1;25;0.16
Wigglesworthia;Wigglesworthia glossinidia ;brevipalpis;Wigglesworthia glossinidia brevipalpis;;36
Wolbachia;Wolbachia endosymbiont ;TRS Brugia malayi;Wolbachia endosymbiont TRS Brugia malayi;;14
Wolinella;Wolinella succinogenes;;Wolinella succinogenes;37;1
Xanthomonas;Xanthomonas axonopodis;;Xanthomonas axonopodis;27;7
Xanthomonas;Xanthomonas campestris;;Xanthomonas campestris;37;3
Xanthomonas;Xanthomonas oryzae ;oryzae KACC10331;Xanthomonas oryzae oryzae KACC10331;28;2
Xylella;Xylella fastidiosa ;9a5c;Xylella fastidiosa 9a5c;28;5.13
Yersinia;Yersinia pestis ;CO92;Yersinia pestis CO92;37;1.25
Yersinia;Yersinia pseudotuberculosis;;Yersinia pseudotuberculosis;37;0.5
Zymomonas;Zymomonas mobilis;;Zymomonas mobilis;27;2
