corkrey_taxID;corkrey_genus;corkrey_species;corkrey_speciesStrain;corkrey_growthTemp;corkrey_oxygen;corkrey_trophy;corkrey_doublingH;corkrey_ref
99594;Thermohalobacter;Thermohalobacter berrensis;Thermohalobacter berrensis;65.2;anaerobic;heterotroph;0.63;Cayol JL, Ducerf S, Patel BK, Garcia JL, Thomas P, Ollivier B. Thermohalobacter berrensis gen. nov., sp. nov., a thermophilic, strictly halophilic bacterium from a solar saltern. Int J Syst Evol Microbiol. 2000
1506;Clostridium;Clostridium sp.;Clostridium sp.;36.7;anaerobic;heterotroph;1;Park HS, Kim BH, Kim HS, Kim HJ, Kim GT, Kim M, et al. A novel electrochemically active and Fe (III)-reducing bacterium phylogenetically related to Clostridium butyricum isolated from a microbial fuel cell. Anaerobe. 2001
204050;Methanoculleus;Methanoculleus submarinus;Methanoculleus submarinus;45;anaerobic;heterotroph;6.28;Mikucki JA, Liu Y, Delwiche M, Colwell FS, Boone DR. Isolation of a methanogen from deep marine sediments that contain methane hydrates, and description of Methanoculleus submarinus sp. nov. Appl Environ Microbiol. 2003
264736;Photobacterium;Photobacterium frigidiphilum;Photobacterium frigidiphilum;13.8;facultative;heterotroph;1.65;Seo HJ, Bae SS, Lee JH, Kim SJ. Photobacterium frigidiphilum sp. nov., a psychrophilic, lipolytic bacterium isolated from deep-sea sediments of Edison Seamount. Int J Syst Evol Microbiol. 2005
181486;Pyrobaculum;Pyrobaculum calidifontis;Pyrobaculum calidifontis;90;facultative;heterotroph;5.82;Amo T, Paje MLF, Inagaki A, Ezaki S, Atomi H, Imanaka T. Pyrobaculum calidifontis sp. nov., a novel hyperthermophilic archaeon that grows in atmospheric air. Archaea. 2002
71280;Thermococcus;Thermococcus acidaminovorans;Thermococcus acidaminovorans;84.9;anaerobic;heterotroph;1.99;Dirmeier R, Keller M, Hafenbradl D, Braun FJ, Rachel R, Burggraf S, et al. Thermococcus acidaminovorans sp. nov., a new hyperthermophilic alkalophilic archaeon growing on amino acids. Extremophiles. 1998
196588;Porphyrobacter;Porphyrobacter cryptus;Porphyrobacter cryptus;40.1;aerobic;heterotroph;1.73;Rainey FA, Silva J, Nobre MF, Silva MT, da Costa MS. Porphyrobacter cryptus sp. nov., a novel slightly thermophilic, aerobic, bacteriochlorophyll a-containing species. Int J Syst Evol Microbiol. 2003
228;Alteromonas;Alteromonas haloplanctis;Alteromonas haloplanctis;18;aerobic;heterotroph;1;Feller G, Narinx E, Arpigny JL, Zekhnini Z, Swings J, Gerday C. Temperature dependence of growth, enzyme secretion and activity of psychrophilic Antarctic bacteria. Appl Microbiol Biotechnol. 1994
479;Moraxella;Moraxella sp.;Moraxella sp.;25;aerobic;heterotroph;1.7;Feller G, Narinx E, Arpigny JL, Zekhnini Z, Swings J, Gerday C. Temperature dependence of growth, enzyme secretion and activity of psychrophilic Antarctic bacteria. Appl Microbiol Biotechnol. 1994
498;Psychrobacter;Psychrobacter immobilis;Psychrobacter immobilis;25;aerobic;heterotroph;2.5;Feller G, Narinx E, Arpigny JL, Zekhnini Z, Swings J, Gerday C. Temperature dependence of growth, enzyme secretion and activity of psychrophilic Antarctic bacteria. Appl Microbiol Biotechnol. 1994
56811;Psychrobacter;Psychrobacter sp.;Psychrobacter sp.;18.1;aerobic;heterotroph;5.45;Shcherbakova V, Rivkina E, Laurinavichuis K, Pecheritsina S, Gilichinsky D. Physiological characteristics of bacteria isolated from water brines within permafrost. Int J Astrobiology. 2004
89401;Colwellia;Colwellia demingiae;Colwellia demingiae;13;facultative;heterotroph;3;Bowman Jp, Gosink Jj, McCammon SA, Lewis TE, Nichols DS, Nichols PD, et al. Colwellia demingiae sp. nov., Colwellia hornerae sp. nov., Colwellia rossensis sp. nov. and Colwellia psychrotropica sp. nov.: psychrophilic Antarctic species with the ability to synthesize docosahexaenoic acid (22: Å“Ã¢63). Int J Syst Bacteriol. 1998
89402;Colwellia;Colwellia hornerae;Colwellia hornerae;10.6;facultative;heterotroph;3.9;Bowman Jp, Gosink Jj, McCammon SA, Lewis TE, Nichols DS, Nichols PD, et al. Colwellia demingiae sp. nov., Colwellia hornerae sp. nov., Colwellia rossensis sp. nov. and Colwellia psychrotropica sp. nov.: psychrophilic Antarctic species with the ability to synthesize docosahexaenoic acid (22: Å“Ã¢63). Int J Syst Bacteriol. 1998
28229;Colwellia;Colwellia psychrerythraea;Colwellia psychrerythraea;13.9;facultative;heterotroph;2.96;Bowman Jp, Gosink Jj, McCammon SA, Lewis TE, Nichols DS, Nichols PD, et al. Colwellia demingiae sp. nov., Colwellia hornerae sp. nov., Colwellia rossensis sp. nov. and Colwellia psychrotropica sp. nov.: psychrophilic Antarctic species with the ability to synthesize docosahexaenoic acid (22: Å“Ã¢63). Int J Syst Bacteriol. 1998
67573;Psychromonas;Psychromonas antarctica;Psychromonas antarctica;15;anaerobic;heterotroph;2.15;Nogi Y, Kato C, Horikoshi K. Psychromonas kaikoae sp. nov., a novel from the deepest piezophilic bacterium cold-seep sediments in the Japan Trench. Int J Syst Evol Microbiol. 2002
145373;Psychromonas;Psychromonas kaikoae;Psychromonas kaikoae;10;anaerobic;heterotroph;4.66;Nogi Y, Kato C, Horikoshi K. Psychromonas kaikoae sp. nov., a novel from the deepest piezophilic bacterium cold-seep sediments in the Japan Trench. Int J Syst Evol Microbiol. 2002
1396;Bacillus;Bacillus cereus;Bacillus cereus;40;facultative;heterotroph;0.26;MembreÃƒÃ… JM, Leporq B, Vialette M, Mettler E, Perrier L, Thuault D, et al. Temperature effect on bacterial growth rate: quantitative microbiology approach including cardinal values and variability estimates to perform growth simulations on/in food. Int J Food Microbiol. 2005
1364;Lactococcus;Lactococcus piscium;Lactococcus piscium;25;facultative;heterotroph;1.05;Leroi F, Fall PA, Pilet MF, Chevalier F, Baron R. Influence of temperature, pH and NaCl concentration on the maximal growth rate of Brochothrix thermosphacta and a bioprotective bacteria Lactococcus piscium CNCM I-4031. Food Microbiol. 2012
2756;Brochothrix;Brochothrix thermosphacta;Brochothrix thermosphacta;25;facultative;heterotroph;0.48;Baranyi J, Robinson TP, Kaloti A, Mackey BM. Predicting growth of Brochothrix thermosphacta at changing temperature. Int J Food Microbiol. 1995
1108;Chloroflexus;Chloroflexus aurantiacus;Chloroflexus aurantiacus;55;facultative;heterotroph;2.31;Pierson BK, Castenholz RW. A phototrophic gliding filamentous bacterium of hot springs, Chloroflexus aurantiacus, gen. and sp. nov. Arch Microbiol. 1974
1502;Clostridium;Clostridium perfringens;Clostridium perfringens;43;anaerobic;heterotroph;0.11;Labbe RG, Huang TH. Generation times and modeling of enterotoxinpositive and enterotoxin-negative strains of Clostridium perfringens in laboratory media and ground beef. J Food Prot. 1995
573;Klebsiella;Klebsiella pneumoniae;Klebsiella pneumoniae;40.6;facultative;heterotroph;0.34;Heitzer A, Kohler H, Reichert P, Hamer G. Utility of phenomenological models for describing temperature dependence of bacterial growth. Appl Environ Microbiol. 1991
