key;GCA;GCF;larger
2227;7002;7069;GCF
2228;4993;5115;GCF
2229;6146;5873;GCA
2230;5683;5717;GCF
2231;6461;6220;GCA
2232;7304;6942;GCA
2233;6991;6847;GCA
2234;5568;5581;GCF
2235;5367;5237;GCA
2236;5259;5257;GCA
2237;7281;7008;GCA
2238;6865;6934;GCF
2239;5020;5039;GCF
2240;5044;5056;GCF
2241;4987;4791;GCA
2242;6496;6560;GCF
2243;5645;5524;GCA
2244;7262;7172;GCA
2245;6959;6686;GCA
2246;6514;6536;GCF
2247;6159;6161;GCF
2248;3561;3422;GCA
2249;5050;4991;GCA
2250;6591;6451;GCA
2251;6002;5809;GCA
2252;6667;6565;GCA
2253;5289;5462;GCF
2254;5969;6183;GCF
2255;6264;6473;GCF
2256;5470;5461;GCA
2257;7737;7844;GCF
2258;5568;5409;GCA
2259;4546;4542;GCA
2260;6220;6167;GCA
2261;5945;5787;GCA
2262;5259;5097;GCA
2263;4891;5288;GCF
2264;3925;3902;GCA
2265;6611;6534;GCA
2266;5952;6201;GCF
2267;4014;4049;GCF
2268;3954;4036;GCF
2269;4386;4186;GCA
2270;4417;4275;GCA
2271;3764;3749;GCA
2272;3898;3841;GCA
2273;3235;3048;GCA
2274;3873;3778;GCA
2275;3774;3772;GCA
2276;7469;7397;GCA
2277;3616;3547;GCA
2278;5720;5722;GCF
2279;4571;4603;GCF
2280;5400;5167;GCA
2281;4884;4914;GCF
2282;5575;5384;GCA
2283;4215;4172;GCA
2284;4283;4289;GCF
2285;3765;3883;GCF
2286;4059;3975;GCA
2287;5125;4855;GCA
2288;3712;3685;GCA
2289;3605;3563;GCA
2290;7956;7593;GCA
2291;5171;5206;GCF
2292;8849;8800;GCA
2293;6520;6498;GCA
2294;9427;9397;GCA
2295;9342;9366;GCF
2296;6705;6490;GCA
2297;8696;8509;GCA
2298;5337;5267;GCA
2299;7690;7519;GCA
2300;7386;7011;GCA
2301;8752;8741;GCA
2302;7532;7494;GCA
2303;3628;3622;GCA
2304;3242;3339;GCF
2305;3353;3345;GCA
2306;4005;4073;GCF
2307;3886;3816;GCA
2308;4035;3996;GCA
2309;3680;3631;GCA
2310;3545;3474;GCA
2311;2748;2784;GCF
2312;4055;4050;GCA
2313;3911;3946;GCF
2314;3711;3747;GCF
2315;3355;3317;GCA
2316;3444;3509;GCF
2317;2822;3244;GCF
2318;3063;3104;GCF
2319;3740;3722;GCA
2320;2365;2344;GCA
2321;6418;6388;GCA
